json_name	csv_name	match_type	in_dataset_json	n_cells_selected	family_types	subclade
brain_ACh_MN_mnx_phox2_Lhx15	brain_ACh_MN_mnx_phox2_Lhx15	exact	yes	18	N_mpro	clade11sub51
brain_DA_IN_Emx_Six12	brain_DA_IN_Emx_Six12	exact	yes	0	NMC_mect06	clade10sub7subsub4
brain_DA_IN_Emx_Six12_Ant	brain_DA_IN_Emx_Six12	fuzzy	yes	2	NMC_mect06	clade10sub7subsub4
brain_Glu_IN_TAL_lhx3	brain_Glu_IN_TAL_lhx3	exact	yes	99	N_psin01	clade11sub21
brain_Glu_LLE-PRC2_FEZF_AP2	brain_Glu_LLE-PRC2_FEZF_AP2	exact	NO	1	N_rprc	clade11sub45subsub0
brain_Glu_mechSN_FEZF_PouIV_Vsx_Nkx2-1	brain_Glu_mechSN_FEZF_PouIV_Vsx_Nkx2-1	exact	yes	63	NMC_mecp	clade10sub9
brain_ls_IN_TAL_GATA_PA258	brain_ls_IN_TAL_GATA_Pax258	fuzzy	yes	60	N_psin02	clade11sub34
brain_ls_pyg_ACh_SN_Phox2_HAND	brain_ls_pyg_ACh_SN_Phox2_HAND	exact	yes	109	N_visc02	clade11sub22subsub4
brain_NA_IN_Phox2_Isl_Coe	brain_NA_IN_Phox2_Isl_Coe	exact	yes	17	N_casc	clade11sub27subsub8
brain_or_ls_pyg_Glu_mechSN_POUVI_Lhx3	brain_or_ls_pyg_Glu_mechSN_POUVI_Lhx3	exact	yes	141	NMC_colr	clade10sub3subsub5-9
brain_palpae_Glu_mechSN_Pax258_Dach	brain_palpae_Glu_mechSN_Pax258_Dach	exact	yes	10	NMC_mect02	clade10sub11
brain_SSN_bsx_COE	brain_SSN_bsx_COE	exact	yes	23	NAP_cyss6	clade11sub3subsub9
brain_SSN_six4_PDF_G0-R	brain_SSN_six4_PDF_G0-R	exact	yes	22	NAP_cyss11	clade11sub60
brain_TYR-DA-ACh_NSC_foxA_nk2-1	brain_TYR/DA/ACh_NSC_foxA_nk2.1	fuzzy	yes	23	N_mpro03	clade11sub16subsub7
brain_TYR/DA/ACh_NSC_foxA_nk2.1	brain_TYR/DA/ACh_NSC_foxA_nk2.1	exact (CSV only, JSON: brain_TYR-DA-ACh_NSC_foxA_nk2-1)	N/A		N_mpro03	clade11sub16subsub7
fg_GABA_SN_Dbx_Ptf1a	fg_GABA_SN_Dbx_Ptf1a	exact	yes	44	N_ipro01	clade11sub28subsub3
Fig2_prediction_brain_ACh_SSN_bsx_Dlx	brain_ACh_SSN_bsx_Dlx	fuzzy	yes	0	NAP_mbdclp	clade11sub48
hg_Glu_EN_nkx22_lmx1_mnx	hg_Glu_EN_nkx22_lmx1_mnx	exact	yes	4	NEE_eens01	nocladesub16
ls1_5HT_MN_pitx_GATA123_lhx15	ls1_5HT_MN_Pitx_GATA123_lhx15	fuzzy	NO	41	N_mser03	clade11sub20subsub0-1-2-4-6
ls2-3_5HT_MN_Pitx_Prox	ls2-3_5HT_MN	fuzzy	yes	66	N_mser04	clade11sub20subsub3
ls_ACh_MN_Mnx_Lhx3_Pitx	ls_ACh_MN_Mnx_Lhx3_Pitx	exact	yes	50	N_prem	clade11sub29subsub5
ls_GABA_cSN_Dbx_Ptf1a	ls_GABA_cSN_Dbx_Ptf1a	exact	yes	71	N_ipro02	clade11sub5subsub10
ls_HIS_VSN_foxQ2_phox2	ls_HIS_VSN_foxQ2_phox2	exact	yes	56	N_moss	clade11sub6subsub11
ls_pyg_Glu_cIN_Evx	ls_pyg_Glu_cIN_Evx	exact	yes	76	N_spro01	clade11sub13subsub5
pyg_Glu_SN_POU4_BarH1_Isl	pyg_Glu_SN_POU4_BarH1_Isl	exact	yes	88	N_psem02	clade11sub6subsub6
