segmentation_source,view_name,additionalTables,colorByColumn,lut
cells,Figure 2B: Epithelial cell segmentation,,,glasbey
cells,Figure 2C: Muscle segmentation,,,glasbey
cells,Figure 2D: Nephridia segmentation,,,glasbey
cells,Figure 3B: Morphology clustering full body,morphology_clusters.tsv,morphologyColourScheme,argbColumn
cells,Figure 3G and Suppl. Fig. 2D: Example Bilateral Pairs,symmetric_cells.tsv,pair_index,glasbey
cells,Figure 5C: Gene clustering full body,gene_clusters.tsv,geneColourScheme,argbColumn
cells,Figure 5D bottom left: Gene clustering head zoom,gene_clusters.tsv,geneColourScheme,argbColumn
cells,Figure 5D bottom middle: Gene clustering head zoom,gene_clusters.tsv,geneColourScheme,argbColumn
cells,Figure 5D top left: Head ganglia,ganglia_ids.tsv,gangliaColourScheme,argbColumn
cells,Figure 5D top middle: Head ganglia,ganglia_ids.tsv,gangliaColourScheme,argbColumn
cells,Figure 7A and 7B: Gene expression assignment,,,glasbey
cells,Figure 7C: Virtual cell assignment: gene expression level,vc_assignments.tsv,expression_sum,viridis
cells,Figure 7G: MMB - PlatyBrowser,,,glasbey
cells,Figure1a,gene_clusters.tsv;gene_umap.tsv,geneColourScheme,argbColumn
cells,Suppl. Fig. 2A: Ciliated,,,glasbey
cells,Suppl. Fig. 2A: Dark,,,glasbey
cells,Suppl. Fig. 2A: Digestive,,,glasbey
cells,Suppl. Fig. 2A: Epithelial,,,glasbey
cells,Suppl. Fig. 2A: Muscle,,,glasbey
cells,Suppl. Fig. 2A: Neuron,,,glasbey
cells,Suppl. Fig. 2A: Secretory,,,glasbey
cells,Suppl. Fig. 2C: Cell texture haralick 2 high,,,glasbey
cells,Suppl. Fig. 2C: Cell texture haralick 2 low,,,glasbey
cells,Suppl. Fig. 2C: H+N texture haralick 8 high,,,glasbey
cells,Suppl. Fig. 2C: H+N texture haralick 8 low,,,glasbey
cells,Suppl. Fig. 2C: Nucleus intensity median high,,,glasbey
cells,Suppl. Fig. 2C: Nucleus intensity median low,,,glasbey
cells,Suppl. Fig. 2C: Nucleus intensity standard deviation high,,,glasbey
cells,Suppl. Fig. 2C: Nucleus intensity standard deviation low,,,glasbey
cells,Suppl. Fig. 2C: Sphericity high,,,glasbey
cells,Suppl. Fig. 2C: Sphericity low,,,glasbey
cells,Suppl. Fig. 2C: percent H+N in outer 25 percent of nucleus high,,,glasbey
cells,Suppl. Fig. 2C: percent H+N in outer 25 percent of nucleus low,,,glasbey
cells,Suppl. Figure 6B and 6C: Gene expression assignment,,,glasbey
cells,Suppl. Figure 6B and 6C: Gene expression assignment,,,glasbey
cells,Suppl. Figure 6H and 6I: Symmetric cell pairs,symmetric_cells.tsv,pair_index,glasbeyZeroTransparent
cells,cells,,,glasbey
cells,brain_ACh_LLE_PRC3-4_rx_foxq2,,,glasbey
cells,brain_5HT_IN_Phox2_Vsx,,,glasbey
cells,brain_ACh_MN_mnx_phox2,,,glasbey
cells,brain_ACh_SSN_bsx_Dlx,,,glasbey
cells,brain_deepbrainPRC_rx_foxq2,,,glasbey
cells,brain_LLE-PC2,,,glasbey
cells,brain_PC,,,glasbey
cells,brain_pyg_ACh_SN_Phox2_HAND,,,glasbey
cells,david_cells,,,glasbey
cells,dbx_traced_cells,,,glasbey
cells,fg_GABA_MN_lmx1_sim_mnx,,,glasbey
