label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	sources	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id
6	170.08	174.24	15.3	156.80	165.60	5.00	174.00	184.32	54.60	0	1	kevin	745	32	0
10	197.52	141.92	20.3	176.32	125.76	5.90	208.64	145.28	47.90	0	1	kevin	1108	341	0
23	199.84	141.04	32.9	187.44	137.28	11.10	202.56	143.92	42.20	0	1	kevin	1540	169	0
39	202.8	139.68	40.5	180.64	117.60	10.30	206.48	143.28	53.60	0	1	kevin	2842	42	0
58	151.28	202.56	55.7	149.04	180.48	49.70	175.20	207.12	57.70	0	1	kevin	4483	92	0
80	180.8	209.92	58.6	169.28	175.84	53.90	204.24	213.36	62.20	0	1	kevin	5403	627	0
95	185.84	141.84	70.9	168.40	138.80	62.20	188.80	153.68	72.90	0	1	kevin	6246	708	0
100	146.16	164.24	71.3	142.96	154.56	59.90	154.08	166.88	72.70	0	1	kevin	7012	527	0
114	232.4	148.24	77.6	216.40	142.96	68.60	236.16	160.64	82.60	0	1	kevin	0	303	0
118	229.84	186.96	77.5	204.08	173.76	53.50	238.64	190.32	78.80	0	1	kevin	7942	723	0
124	224.96	176.96	78.4	198.32	170.88	58.10	235.52	195.44	80.20	0	1	kevin	8101	721	0
148	114.72	144.48	97.3	108.64	139.12	95.50	136.48	155.92	134.50	0	1	kevin	10379	553	0
211	129.46	122.25	149.21	91.49	109.03	148.86	135.82	153.55	168.00	340	1	david_new_dangling	0	0	0
251	125.84	118.4	152.3	104.69	101.22	105.74	160.38	209.12	175.72	548	2	david;david_new	18180	0	84
257	135.35	126.64	136.09	125.80	108.35	132.17	156.90	140.68	143.48	129	1	david_new_dangling	0	0	0
269	123.04	115.36	157.5	102.24	110.16	103.30	160.24	138.16	166.10	0	1	david	20037	0	37
291	120.08	113.12	169.7	100.56	75.87	158.59	136.23	146.32	190.40	683	2	david;david_new	12942	0	48
436	193.6	159.84	6.7	167.84	126.80	4.50	198.88	162.00	55.80	0	1	kevin	200	664	0
503	196.32	158.16	9.6	194.00	154.72	7.10	222.40	161.04	51.10	0	1	kevin	0	669	0
505	196.96	154.56	11.8	194.48	131.92	9.70	220.88	161.84	58.60	0	1	kevin	513	670	0
506	198.64	161.6	9.9	196.24	150.64	1.30	223.76	164.00	49.30	0	1	kevin	0	665	0
510	201.68	165.12	11.0	195.52	156.56	8.30	223.04	167.84	63.20	0	1	kevin	417	666	0
537	170.16	175.12	12.7	157.28	164.24	5.40	173.84	189.92	49.30	0	1	kevin	406	37	0
636	190.56	158.32	15.5	172.72	145.60	11.50	193.92	163.76	45.00	0	1	kevin	725	663	0
637	191.12	162.56	15.0	186.96	160.24	11.50	193.28	165.12	48.80	0	1	kevin	614	657	0
641	191.84	157.76	18.4	167.44	147.60	14.10	195.52	179.28	54.00	0	1	kevin	852	661	0
642	194.48	161.2	14.7	184.40	158.56	10.40	196.48	172.80	50.50	0	1	kevin	615	658	0
645	198.24	158.96	14.2	195.68	149.28	0.20	221.84	161.60	45.10	0	1	kevin	617	668	0
649	201.84	160.64	15.2	199.92	148.80	1.80	222.88	163.68	64.60	0	1	kevin	389	667	0
653	207.36	147.2	14.3	205.52	144.96	0.20	222.08	160.88	41.30	0	1	kevin	256	357	0
656	210.56	146.64	14.6	208.72	142.80	0.30	223.84	161.92	46.40	0	1	kevin	364	367	0
674	166.16	171.2	18.0	156.96	163.60	5.70	173.84	185.36	52.50	0	1	kevin	743	265	0
675	169.36	178.08	14.4	156.56	164.64	4.90	173.60	187.68	53.40	0	1	kevin	649	259	0
678	173.92	185.12	15.0	157.12	168.24	9.70	176.24	193.60	43.50	0	1	kevin	772	283	0
680	177.2	181.6	15.5	154.56	163.76	4.80	180.40	195.28	48.30	0	1	kevin	896	281	0
693	193.6	165.76	16.5	187.28	159.84	13.50	200.16	177.76	43.70	0	1	kevin	884	656	0
716	216.32	171.2	15.5	208.16	151.84	0.10	223.92	174.64	37.50	0	1	kevin	538	26	0
734	177.28	186.96	14.7	157.68	167.12	8.80	179.28	191.84	47.60	0	1	kevin	774	287	0
771	188.0	141.52	21.2	177.36	131.60	4.90	198.56	150.16	57.00	0	1	kevin	1099	347	0
772	191.12	136.88	18.2	181.52	132.72	5.60	193.84	139.68	21.60	0	1	kevin	0	349	0
774	191.44	142.24	21.8	176.96	132.72	5.10	198.88	149.84	49.70	0	1	kevin	1102	337	0
778	195.76	137.92	20.8	181.92	132.56	5.80	200.40	140.24	27.20	0	1	kevin	953	345	0
780	200.72	135.92	17.6	182.48	133.04	5.40	203.92	146.40	53.30	0	1	kevin	825	176	0
788	208.96	141.36	24.2	182.48	135.84	8.40	211.12	154.88	57.80	0	1	kevin	1258	173	0
812	188.88	145.92	21.3	175.20	136.24	7.70	199.52	149.84	45.60	0	1	kevin	950	331	0
813	189.28	161.76	19.2	184.00	159.44	15.70	191.36	164.72	26.40	0	1	kevin	851	660	0
815	191.76	162.96	23.1	186.64	160.80	18.90	202.80	182.88	42.80	0	1	kevin	1154	655	0
817	195.36	163.2	19.0	183.84	160.48	16.40	198.00	173.76	51.00	0	1	kevin	1138	659	0
818	195.92	158.4	20.3	184.64	155.36	16.90	198.40	164.16	43.50	0	1	kevin	988	662	0
819	195.92	146.0	20.2	176.16	131.92	5.30	201.36	150.80	51.40	0	1	kevin	967	323	0
827	205.28	158.16	23.4	202.88	156.00	19.50	216.32	161.04	36.70	0	1	kevin	514	77	0
832	209.84	160.8	18.6	203.52	148.08	0.20	221.52	163.44	64.40	0	1	kevin	730	371	0
833	211.52	152.48	23.7	209.12	143.52	0.60	222.56	161.68	59.20	0	1	kevin	969	351	0
834	211.92	154.88	18.9	174.88	116.24	0.20	222.00	162.56	62.60	0	1	kevin	622	369	0
835	213.12	149.84	20.6	210.32	144.72	0.20	221.20	160.72	53.40	0	1	kevin	1123	353	0
837	212.56	159.92	20.8	188.72	148.24	0.10	221.12	180.72	65.50	0	1	kevin	995	373	0
