label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	in_platybrowser_0_1	origin_dir
1	183.59	182.05	32.62	32.62	165.33	175.20	48.60	182.05	184.83	199	0	david
2	199.50	160.04	33.98	31.79	135.10	133.31	108.67	179.27	199.50	1211	0	commissural
3	199.63	159.69	34.00	21.02	76.89	79.60	254.17	204.11	223.12	46493	0	david
4	194.24	165.96	34.08	33.11	146.37	183.34	55.68	165.96	194.24	181	0	commissural
5	202.08	167.64	34.80	34.80	164.07	180.48	45.01	185.01	203.00	466	0	commissural
6	197.09	167.22	35.42	35.42	120.09	157.01	93.71	167.22	197.11	525	0	commissural
7	204.94	159.71	35.73	35.73	158.86	191.58	44.51	173.47	204.94	277	0	commissural
8	190.52	161.25	36.15	36.15	151.38	184.60	50.84	161.68	190.52	105	0	commissural
9	198.19	163.22	36.75	36.75	162.03	190.12	38.13	164.01	198.19	23	0	david
10	212.09	158.49	37.05	36.51	153.74	167.61	78.03	204.15	220.32	944	0	commissural
11	193.29	160.39	37.85	37.85	151.16	184.88	51.74	161.09	193.29	124	0	commissural
12	197.66	159.43	38.05	38.05	155.75	186.99	52.68	159.43	197.66	65	0	commissural
13	171.43	172.35	40.23	39.70	172.27	171.43	46.42	179.66	190.54	342	0	commissural
14	199.29	160.57	40.50	40.42	149.07	189.39	57.02	160.57	199.30	149	0	commissural
15	200.54	156.00	40.98	35.23	156.00	190.64	43.90	173.03	202.25	135	0	commissural
16	128.44	144.00	81.67	81.67	136.13	128.44	127.65	151.48	141.35	252	0	david
17	132.59	144.73	81.67	81.67	126.47	131.12	102.67	150.28	144.96	160	0	david
18	129.25	148.95	81.67	81.67	127.35	126.19	134.95	155.77	147.19	390	0	david
19	132.55	147.56	84.30	84.30	144.68	132.03	102.99	149.08	139.57	30	0	david
20	142.76	119.00	84.78	84.78	118.39	142.76	96.59	127.71	157.92	123	0	commissural
21	129.02	150.64	84.90	84.90	128.67	124.91	150.44	150.76	139.36	305	0	david
22	152.34	119.57	85.00	85.00	118.19	135.68	138.79	127.75	157.75	155	0	david
23	155.51	114.72	87.53	87.53	110.70	130.95	165.11	127.46	158.85	248	0	david
24	153.21	122.60	88.28	88.28	118.90	143.79	109.89	124.67	156.15	53	0	mouse
25	155.14	117.16	88.80	71.16	117.16	155.14	93.39	124.99	166.36	66	0	david
26	153.21	122.64	88.98	88.98	94.60	120.69	208.71	124.75	155.83	253	0	david
27	150.49	115.05	89.22	89.22	102.85	123.04	186.14	124.98	159.45	229	0	david
28	127.12	154.12	90.92	90.92	154.12	127.12	96.43	160.98	129.35	11	0	mouse
29	154.13	118.16	91.67	72.20	118.16	152.77	99.27	125.82	165.89	102	0	david
30	133.15	133.33	95.42	95.42	132.29	130.20	105.40	150.36	136.16	139	0	david
31	133.48	133.51	95.42	95.38	105.63	122.62	182.66	144.71	146.36	469	0	commissural
32	138.68	130.50	99.05	43.56	122.39	129.36	111.47	145.46	167.19	907	0	david
33	138.05	131.49	99.20	94.88	125.68	130.15	144.90	140.51	143.46	426	0	commissural
34	138.40	131.39	99.45	83.77	127.50	124.66	101.82	148.01	155.19	360	0	commissural
35	150.23	111.41	99.55	99.10	111.24	119.29	162.89	120.08	150.36	181	0	david
36	138.32	131.23	99.55	63.83	118.68	123.67	101.80	149.53	176.53	650	0	commissural
37	138.49	131.53	99.55	88.72	112.85	138.10	103.08	153.91	154.44	425	0	commissural
38	138.01	131.65	100.03	98.42	127.58	135.30	111.12	155.69	147.95	241	0	commissural
39	138.23	132.19	100.03	40.45	127.60	134.20	101.80	160.59	152.50	542	0	david
40	138.71	131.31	101.03	53.48	122.22	136.09	126.33	148.45	166.53	582	0	commissural
41	138.50	131.82	101.03	94.53	111.97	137.14	101.35	144.43	155.15	254	0	commissural
42	138.20	134.69	101.08	40.45	127.60	134.20	102.32	160.59	152.50	468	0	commissural
43	138.36	131.11	101.08	87.86	103.35	120.93	206.57	147.27	147.40	769	0	david
44	138.11	131.35	101.48	58.27	118.03	133.44	103.75	188.87	213.74	790	0	commissural
45	138.76	132.39	102.83	73.40	113.55	134.58	105.98	163.11	157.83	390	0	commissural
46	144.87	105.03	108.75	108.75	105.03	111.01	123.32	145.15	144.87	167	0	david
47	133.93	130.32	131.19	101.70	113.06	132.84	131.19	158.51	154.63	414	0	commissural
48	135.51	126.75	133.38	116.02	112.14	122.80	136.98	145.74	150.80	422	1	commissural
49	135.06	127.42	133.59	112.80	96.20	115.56	135.86	141.52	149.41	195	1	commissural
50	135.04	127.02	133.69	129.94	80.94	120.16	151.78	143.29	144.73	219	1	commissural
51	135.01	127.05	134.04	128.18	107.02	126.19	137.59	136.43	152.39	138	1	commissural
52	135.06	127.57	134.24	134.04	110.18	129.80	141.91	131.84	152.45	90	1	commissural
53	135.06	127.46	134.49	132.38	109.60	122.33	135.24	129.12	139.04	61	1	commissural
54	134.80	127.17	134.54	133.94	110.63	98.39	155.28	138.67	149.39	116	1	commissural
55	135.24	127.47	134.69	130.34	113.61	132.67	143.36	130.15	148.33	80	1	commissural
56	135.66	126.34	135.29	131.28	105.09	126.09	156.09	139.48	155.84	191	1	commissural
57	135.32	126.78	135.83	125.77	96.84	113.03	193.62	146.38	147.88	832	1	commissural
58	135.37	126.28	135.99	127.68	117.22	106.71	136.44	146.55	137.44	163	1	david
59	135.41	126.92	136.04	134.54	125.70	120.62	143.03	146.36	136.46	73	1	commissural
60	135.11	126.30	136.09	136.09	115.92	108.92	148.75	133.64	139.23	137	1	david
