label_id	aka	comment	source_file	first_node_zyx_nm	n_nodes	nmx_in_traces	nmx_in_data	cell_group_dir	min_dist_nucleus_um	closest_nucleus_id	in_platybrowser
1	6.002	non-commissural: big-chain extra cell	david_Common_PyKnossos_Tracing_Nk6_all_Nk6.033.nmx	32625|182051|183594	199	david/Common/PyKnossos/Tracing/Nk6_all/Nk6.033.nmx	data/Projects/Common/PyKnossos/Tracing/Nk6_all/Nk6.033.nmx	david	25.72	282	False
2	9.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	33975|160039|199496	1211	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	3.50	7460	False
3	1.0	non-commissural: training/test	david_1_Commissures_Tracing_old versions and back-ups_TestTracings_E025_Platy1607_prim20180315_seed0001.401.nmx	34000|159690|199630	46493	david/1_Commissures/Tracing/old versions and back-ups/TestTracings/E025_Platy1607_prim20180315_seed0001.401.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/TestTracings/E025_Platy1607_prim20180315_seed0001.401.nmx	david	0.13	6096	False
4	7.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	34075.6|165960|194238	181	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	32.17	9368	False
5	14.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	34800|167637|202079	466	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	25.73	282	False
6	10.002	non-commissural: Hb9 motoneuron / 2_Motoneurons	commissural_all_comm_sec_seg.nmx	35425|167223|197086	525	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	3.28	8236	False
7	13.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	35725|159707|204937	277	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	36.64	10710	False
8	11.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	36150|161253|190524	105	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	36.20	9023	False
9	10.002	non-commissural: big-chain extra cell	david_Common_PyKnossos_Tracing_Nk6_all_Nk6.119.nmx	36750|163221|198193	23	david/Common/PyKnossos/Tracing/Nk6_all/Nk6.119.nmx	data/Projects/Common/PyKnossos/Tracing/Nk6_all/Nk6.119.nmx	david	44.15	10710	False
10	15.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	37046.4|158494|212092	944	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	4.35	8922	False
11	12.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	37850|160394|193289	124	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	35.57	9023	False
12	5.002	non-commissural: Hb9 motoneuron / 2_Motoneurons	commissural_all_comm_sec_seg.nmx	38050|159426|197658	65	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	33.92	300	False
13	8.002	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	40225|172355|171428	342	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	26.99	282	False
14	4.002	non-commissural: Hb9 motoneuron / 2_Motoneurons	commissural_all_comm_sec_seg.nmx	40500|160569|199295	149	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	33.13	10240	False
15	17.001	non-commissural: Hb9 motoneuron / 2_Motoneurons	commissural_all_comm_sec_seg.nmx	40975|155997|200540	135	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	37.10	10710	False
16	0.01	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	81675|144001|128439	252	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	1.56	7105	False
17	0.021	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_p0_p0_commissural.008.nmx	81675|144733|132586	160	david/1_Commissures/Tracing/biased/p0/p0_commissural.008.nmx	data/Projects/1_Commissures/Tracing/biased/p0/p0_commissural.008.nmx	david	1.19	7683	False
18	0.03	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_p0_p0_commissural.008.nmx	81675|148949|129246	390	david/1_Commissures/Tracing/biased/p0/p0_commissural.008.nmx	data/Projects/1_Commissures/Tracing/biased/p0/p0_commissural.008.nmx	david	0.40	7492	False
19	0.06	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	84300|147561|132548	30	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	6.08	7491	False
20	1.004	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	84775|119004|142764	123	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.53	8236	False
21	0.05	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	84900|150642|129023	305	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	0.08	7098	False
22	0.04	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	85000|119574|152339	155	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	0.89	8191	False
23	0.07	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	87525|114721|155514	248	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	0.73	7433	False
24	0.09	DP-only: Mouse tracings	mouse_Mouse_mouse.031.nmx	88275|122597|153213	53	mouse/Mouse/mouse.031.nmx	data/data_Tracing/mouse/Mouse/mouse.031.nmx	mouse	0.72	7897	False
25	0.17	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	88800|117158|155141	66	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	4.08	8236	False
