label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	trust	nucleus_id	traces
211	129.46	122.25	149.21	91.49	107.12	130.90	170.48	153.55	168.00	680	1	unique-close	211	158
251	121.20	111.52	168.52	104.69	101.22	105.74	160.38	209.12	175.72	1096	1	curated	251	243
257	135.35	126.64	136.09	125.80	106.64	132.17	156.90	140.68	163.40	258	1	unique-close	257	61
291	122.15	112.09	166.97	100.56	75.87	158.59	136.23	146.32	178.85	1366	1	curated	291	232
5094	89.40	98.59	206.28	89.40	92.11	88.70	207.76	103.52	212.50	34	1	unique-close	5094	275
5194	121.28	112.01	169.32	91.88	109.84	89.60	159.52	149.86	204.39	1254	1	unique-close	5194	252
5200	116.84	111.55	179.56	89.30	93.72	88.30	176.08	157.27	195.88	504	1	unique-close	5200	263
5629	90.87	105.85	201.10	90.87	105.85	95.00	207.76	118.29	206.90	98	1	unique-close	5629	273
5872	116.93	112.27	179.66	89.44	97.13	103.10	182.80	170.95	184.26	906	1	unique-close	5872	264
5882	108.97	115.69	184.21	91.88	110.32	103.50	212.56	149.86	211.47	936	1	unique-close	5882	269
5908	107.15	132.82	166.58	101.87	127.76	100.90	166.48	133.76	166.58	24	1	unique-close	5908	228
5909	109.21	128.98	163.53	109.21	122.14	104.30	167.28	132.80	168.52	176	1	unique-close	5909	222
6078	129.99	122.14	146.89	127.65	108.97	105.80	149.06	131.28	147.92	224	1	curated	6078	134
6093	109.94	104.76	157.67	109.62	104.76	109.10	164.96	114.65	163.67	86	1	unique-close	6093	204
6096	199.63	159.69	34.00	79.60	76.89	21.02	223.12	204.11	254.17	92986	1	unique-close	6096	3
6105	104.59	135.66	144.22	104.59	111.36	108.40	178.80	137.20	178.09	334	1	unique-close	6105	118
6109	119.68	106.14	199.45	109.84	84.37	108.30	191.52	122.71	200.48	584	1	unique-close	6109	272
6118	96.53	94.94	207.51	96.53	94.94	105.00	212.72	107.84	214.49	52	1	unique-close	6118	276
6141	105.40	139.77	147.47	105.21	128.24	107.60	154.48	140.36	153.64	122	1	unique-close	6141	140
6153	108.38	143.86	169.66	108.38	115.69	106.60	173.28	147.68	169.66	160	1	unique-close	6153	255
6321	120.29	106.72	157.62	119.12	70.33	113.60	167.45	113.21	161.38	630	1	unique-close	6321	203
6367	116.88	110.22	197.20	112.44	104.70	112.00	206.40	114.16	218.20	260	1	unique-close	6367	271
6571	128.72	121.28	150.16	119.30	98.18	118.40	138.72	122.60	150.66	218	1	unique-close	6571	166
6578	117.50	111.59	179.51	114.92	97.16	118.30	165.92	113.77	180.61	312	1	unique-close	6578	262
6607	147.43	97.66	143.75	103.52	97.66	116.60	154.00	126.48	217.73	1322	1	unique-close	6607	111
6620	118.43	110.60	179.74	104.15	76.20	115.00	183.52	117.77	181.51	596	1	unique-close	6620	265
6627	125.39	117.48	152.83	114.54	102.20	115.00	202.08	122.80	202.44	1196	1	unique-close	6627	176
6628	119.76	113.42	166.05	105.82	107.36	116.00	209.92	130.08	215.85	1420	1	unique-close	6628	224
6638	129.09	121.25	148.15	109.44	96.16	105.66	133.11	150.56	199.45	1186	1	unique-close	6638	143
6651	130.93	124.06	145.38	117.57	122.10	115.10	145.28	143.60	146.33	286	1	unique-close	6651	122
6652	135.60	126.67	136.29	113.83	118.60	117.40	147.28	147.68	156.27	336	1	unique-close	6652	62
6653	128.48	121.77	148.85	108.33	116.85	100.68	153.12	149.96	164.46	678	1	unique-close	6653	153
6812	125.15	117.08	156.63	122.69	97.51	123.60	158.64	120.28	159.76	340	1	unique-close	6812	199
6814	120.49	112.53	166.15	110.34	101.84	122.50	158.80	121.78	218.16	704	1	unique-close	6814	226
6821	132.36	124.86	143.37	118.40	113.85	120.70	150.80	128.94	146.20	264	1	curated	6821	103
6837	131.78	121.76	146.06	118.12	104.08	123.20	152.32	137.10	152.73	334	1	unique-close	6837	126
6841	122.05	113.45	167.52	118.79	109.35	124.00	158.48	121.28	188.25	270	1	unique-close	6841	239
6842	106.54	116.80	152.85	106.54	116.79	120.10	160.24	127.84	157.72	98	1	unique-close	6842	177
6861	118.19	109.30	184.24	108.16	100.57	103.26	137.08	141.57	220.99	1166	1	unique-close	6861	270
6870	135.41	126.92	136.04	120.62	125.70	121.10	136.72	146.36	143.03	146	1	unique-close	6870	59
6871	135.37	126.28	135.99	106.71	117.22	120.20	137.44	148.48	136.44	326	1	unique-close	6871	58
6876	133.13	125.45	141.56	114.00	110.26	122.20	156.80	131.60	179.98	436	1	unique-close	6876	83
6912	135.51	126.75	133.38	122.80	112.14	116.02	150.80	170.16	136.98	844	1	curated	6912	48
6924	133.64	126.42	141.04	122.43	119.88	122.50	147.12	152.57	147.06	238	1	unique-close	6924	77
7041	132.84	125.69	142.75	100.64	97.04	128.90	153.76	138.38	154.76	334	1	curated	7041	97
7044	130.85	91.57	160.65	129.36	89.49	129.90	162.96	102.35	170.95	80	1	unique-close	7044	217
7049	132.13	124.21	143.66	111.20	116.71	112.71	140.51	125.11	143.76	274	1	unique-close	7049	106
7053	133.32	125.81	141.04	116.48	85.37	124.35	142.11	130.91	154.14	386	1	curated	7053	76
7067	135.06	127.46	134.49	122.33	109.12	125.70	139.04	129.12	135.24	122	1	unique-close	7067	53
7074	124.34	116.62	156.13	114.03	108.26	128.40	153.12	120.20	197.57	758	1	unique-close	7074	196
7076	125.23	115.22	156.61	121.37	106.16	126.60	155.92	117.54	157.06	144	1	unique-close	7076	198
7098	129.02	150.64	84.90	108.24	128.67	84.90	139.36	150.76	150.44	610	1	unique-close	7098	21
7106	131.74	123.14	146.06	100.17	104.14	129.00	142.35	136.24	156.25	436	1	curated	7106	127
7110	132.12	123.26	145.36	125.92	121.61	107.85	137.12	148.32	147.20	378	1	curated	7110	121
7142	125.69	118.17	152.38	115.45	90.16	95.92	136.55	160.32	220.25	2096	1	curated	7142	173
7242	127.76	119.69	151.93	114.53	93.12	88.56	157.94	126.73	156.79	882	1	curated	7242	170
7245	138.72	98.70	143.80	131.01	98.70	130.70	148.56	113.18	154.92	260	1	unique-close	7245	112
7256	132.54	125.27	143.55	113.76	111.77	131.80	138.97	126.83	145.15	192	1	curated	7256	105
7261	131.83	124.58	142.22	117.97	93.45	134.40	137.08	133.86	152.39	370	1	curated	7261	89
7263	150.23	111.41	99.55	119.29	111.24	99.10	150.36	121.60	162.89	362	1	unique-close	7263	35
7271	134.80	127.17	134.54	98.39	110.63	133.60	149.39	138.67	155.28	232	1	unique-close	7271	54
7272	131.42	125.57	141.84	110.44	118.80	130.30	137.26	132.97	152.97	194	1	curated	7272	85
7276	130.67	122.17	147.44	120.76	101.28	134.50	145.68	141.60	151.20	362	1	curated	7276	139
7277	141.18	98.25	148.60	133.92	98.25	134.50	148.08	110.71	149.62	326	1	unique-close	7277	148
7278	133.18	124.95	142.41	122.18	88.63	130.50	147.76	133.61	152.99	636	1	curated	7278	93
7280	130.29	122.25	146.89	129.88	108.72	134.70	151.20	127.44	148.98	264	1	unique-close	7280	135
7282	131.60	125.13	142.34	102.37	103.52	107.52	155.28	133.53	151.91	510	1	curated	7282	92
7284	133.26	124.73	142.43	132.89	112.88	133.30	153.84	124.86	143.00	34	1	curated	7284	94
7295	134.43	126.45	141.04	109.28	115.43	132.60	145.48	142.16	146.17	254	1	curated	7295	78
7299	125.48	116.44	155.13	112.96	96.40	129.79	139.45	142.96	159.82	608	1	curated	7299	185
7304	133.93	130.32	131.19	125.20	113.06	101.70	154.63	158.51	139.50	828	1	unique-close	7304	47
7305	129.34	122.51	146.81	128.49	119.62	99.41	146.19	129.92	151.18	440	1	unique-close	7305	132
7306	123.43	114.55	160.46	108.42	73.30	130.00	150.13	142.24	160.51	900	1	curated	7306	216
7373	129.19	122.45	148.29	118.45	71.49	137.40	158.83	130.20	167.91	1052	1	unique-close	7373	145
7396	141.77	95.79	143.75	141.73	95.79	138.60	148.40	104.61	149.74	74	1	unique-close	7396	110
7401	134.49	124.18	142.61	126.29	87.95	129.97	154.96	131.08	153.11	562	1	unique-close	7401	96
7402	128.87	122.54	148.92	113.38	79.12	135.80	156.72	129.99	182.92	830	1	unique-close	7402	154
7404	131.32	125.21	143.07	128.38	81.92	138.20	161.52	126.98	159.45	254	1	curated	7404	100
7406	132.97	125.33	142.31	114.36	102.16	134.67	158.00	136.48	154.46	494	1	unique-close	7406	91
7408	132.80	124.69	141.22	131.31	98.64	128.39	166.00	126.62	143.38	346	1	curated	7408	79
7420	135.06	127.42	133.59	108.88	96.20	112.80	149.41	141.52	144.90	390	1	curated	7420	49
7421	121.86	111.64	168.93	100.59	96.00	99.72	164.26	127.31	173.30	1374	1	curated	7421	247
7422	138.36	131.11	101.08	110.48	103.35	87.86	147.40	147.27	206.57	1538	1	unique-close	7422	43
7425	144.87	105.03	108.75	111.01	105.03	108.75	144.87	145.15	140.80	334	1	unique-close	7425	46
7431	125.86	118.46	152.33	119.20	107.58	110.74	155.35	148.28	155.38	762	1	curated	7431	172
7433	155.51	114.72	87.53	119.44	110.70	87.53	158.85	127.46	165.11	496	1	unique-close	7433	23
7436	150.49	115.05	89.22	123.04	102.85	89.22	159.45	124.98	186.14	458	1	unique-close	7436	27
7437	120.49	111.44	166.47	111.30	87.16	138.00	145.50	119.60	223.88	630	1	curated	7437	227
