label_id	most_probable_broad_type	most_probable_broad_subtype	broadTypeColourScheme	subtypeColourScheme
6	Motile cilia	clade10sub8	255-67-99-216	255-218-41-118
10	Motile cilia	clade10sub20	255-67-99-216	255-192-162-34
23	Developing neurons	clade11sub4subsub2-5-8	255-145-30-180	255-76-53-5
39	Central nervous system	clade11sub4subsub6	255-66-212-244	255-237-50-18
58	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
80	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
95	Motile cilia	clade10sub14	255-67-99-216	255-208-175-247
100	Somatic musculature	clade7sub8	255-220-190-255	255-219-206-56
118	Anterior nervous system	clade11sub3subsub7	255-240-50-230	255-232-10-188
124	Anterior nervous system	clade11sub3subsub7	255-240-50-230	255-232-10-188
148	Central nervous system	clade11sub20subsub3	255-66-212-244	255-224-92-154
251	Developing neurons	clade9sub7	255-145-30-180	255-32-59-139
269	Developing neurons	clade11sub22subsub4	255-145-30-180	255-91-176-44
291	Motile cilia	clade11sub6subsub10	255-67-99-216	255-153-160-45
436	Epidermis	nocladesub2	255-128-128-0	255-167-39-14
505	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
510	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
537	Motile cilia	nocladesub3	255-67-99-216	255-76-16-141
636	Central nervous system	clade9sub13	255-66-212-244	255-168-20-248
637	Central nervous system	clade9sub13	255-66-212-244	255-168-20-248
641	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
642	Central nervous system	clade9sub13	255-66-212-244	255-168-20-248
645	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
649	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
653	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
656	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
674	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
675	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
678	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
680	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
693	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
716	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
734	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
771	Developing neurons	clade9sub7	255-145-30-180	255-32-59-139
774	Developing neurons	clade9sub7	255-145-30-180	255-32-59-139
778	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
780	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
788	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
812	Developing neurons	clade9sub7	255-145-30-180	255-32-59-139
813	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
815	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
817	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
818	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
819	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
827	Motile cilia	clade11sub4subsub2-5-8	255-67-99-216	255-76-53-5
832	Motile cilia	clade11sub4subsub2-5-8	255-67-99-216	255-76-53-5
833	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
834	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
835	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
837	Motile cilia	clade11sub4subsub2-5-8	255-67-99-216	255-76-53-5
838	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
839	Motile cilia	clade11sub4subsub2-5-8	255-67-99-216	255-76-53-5
841	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
843	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
847	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
868	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
869	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
870	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
872	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
873	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
874	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
875	Motile cilia	clade11sub8subsub0	255-67-99-216	255-171-171-112
876	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
894	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
896	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
923	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
924	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
952	Motile cilia	clade11sub4subsub2-5-8	255-67-99-216	255-76-53-5
957	Motile cilia	clade11sub18subsub2	255-67-99-216	255-33-23-27
959	Developing neurons	clade11sub4subsub2-5-8	255-145-30-180	255-76-53-5
1010	Developing neurons	clade9sub7	255-145-30-180	255-32-59-139
1012	Motile cilia	clade9sub7	255-67-99-216	255-32-59-139
1015	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
1018	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1019	Developing neurons	clade10sub9	255-145-30-180	255-188-185-109
1024	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1025	Developing neurons	clade9sub16	255-145-30-180	255-113-132-112
1046	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
1047	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
1053	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
1056	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
1057	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
1070	Developing neurons	clade10sub22	255-145-30-180	255-2-248-235
1073	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1075	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1076	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1079	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1081	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1118	Motile cilia	clade10sub8	255-67-99-216	255-218-41-118
1143	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
1172	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1175	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
1211	Developing neurons	clade11sub4subsub2-5-8	255-145-30-180	255-76-53-5
