label_id	anchor_x	anchor_y	anchor_z	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id
6	170.08	174.24	15.3	745	32	0
10	197.52	141.92	20.3	1108	341	0
23	199.84	141.04	32.9	1540	169	0
39	202.8	139.68	40.5	2842	42	0
58	151.28	202.56	55.7	4483	92	0
80	180.8	209.92	58.6	5403	627	0
95	185.84	141.84	70.9	6246	708	0
100	146.16	164.24	71.3	7012	527	0
114	232.4	148.24	77.6	0	303	0
118	229.84	186.96	77.5	7942	723	0
124	224.96	176.96	78.4	8101	721	0
148	114.72	144.48	97.3	10379	553	0
251	125.84	118.4	152.3	18180	0	84
269	123.04	115.36	157.5	20037	0	37
291	120.08	113.12	169.7	12942	0	48
436	193.6	159.84	6.7	200	664	0
503	196.32	158.16	9.6	0	669	0
505	196.96	154.56	11.8	513	670	0
506	198.64	161.6	9.9	0	665	0
510	201.68	165.12	11.0	417	666	0
537	170.16	175.12	12.7	406	37	0
636	190.56	158.32	15.5	725	663	0
637	191.12	162.56	15.0	614	657	0
641	191.84	157.76	18.4	852	661	0
642	194.48	161.2	14.7	615	658	0
645	198.24	158.96	14.2	617	668	0
649	201.84	160.64	15.2	389	667	0
653	207.36	147.2	14.3	256	357	0
656	210.56	146.64	14.6	364	367	0
674	166.16	171.2	18.0	743	265	0
675	169.36	178.08	14.4	649	259	0
678	173.92	185.12	15.0	772	283	0
680	177.2	181.6	15.5	896	281	0
693	193.6	165.76	16.5	884	656	0
716	216.32	171.2	15.5	538	26	0
734	177.28	186.96	14.7	774	287	0
771	188.0	141.52	21.2	1099	347	0
772	191.12	136.88	18.2	0	349	0
774	191.44	142.24	21.8	1102	337	0
778	195.76	137.92	20.8	953	345	0
780	200.72	135.92	17.6	825	176	0
788	208.96	141.36	24.2	1258	173	0
812	188.88	145.92	21.3	950	331	0
813	189.28	161.76	19.2	851	660	0
815	191.76	162.96	23.1	1154	655	0
817	195.36	163.2	19.0	1138	659	0
818	195.92	158.4	20.3	988	662	0
819	195.92	146.0	20.2	967	323	0
827	205.28	158.16	23.4	514	77	0
832	209.84	160.8	18.6	730	371	0
833	211.52	152.48	23.7	969	351	0
834	211.92	154.88	18.9	622	369	0
835	213.12	149.84	20.6	1123	353	0
837	212.56	159.92	20.8	995	373	0
838	215.68	153.52	19.5	365	355	0
839	216.32	160.08	19.3	734	375	0
841	219.36	154.64	20.2	835	359	0
843	220.96	158.0	24.1	996	98	0
847	226.08	159.84	23.6	1293	30	0
868	165.12	178.8	18.6	1031	273	0
869	167.36	174.48	20.7	1008	263	0
870	167.68	182.96	17.8	1034	277	0
872	169.68	178.48	17.7	1033	269	0
873	171.76	175.36	19.8	875	261	0
874	171.52	182.72	20.1	1032	285	0
875	174.72	180.8	18.8	1035	271	0
876	175.84	176.96	18.4	1009	275	0
894	193.44	171.52	22.2	1312	652	0
896	193.92	167.04	24.0	1442	651	0
923	225.84	170.4	19.8	1025	719	0
924	227.04	166.16	20.0	628	720	0
952	183.84	194.48	20.8	1058	411	0
957	189.36	193.04	18.5	778	413	0
959	192.16	198.72	21.0	1364	415	0
1010	191.44	143.36	28.4	1538	321	0
1012	193.52	140.08	23.9	1396	339	0
1015	195.2	145.04	25.1	1397	327	0
1018	200.0	139.92	23.3	1103	343	0
1019	200.64	144.4	22.3	1399	325	0
1024	204.72	140.4	29.0	824	166	0
1025	208.64	137.6	27.1	1104	171	0
1046	184.4	152.48	24.1	1411	52	0
1047	185.28	150.0	27.2	1413	50	0
1053	193.04	148.08	23.3	1271	329	0
1056	194.56	162.08	25.3	1423	653	0
1057	197.92	148.0	26.1	1548	333	0
1070	214.8	156.32	27.3	1425	39	0
1073	215.92	152.24	22.4	1277	96	0
1075	218.56	153.92	24.8	1125	361	0
1076	220.32	160.8	23.3	733	377	0
1079	221.44	156.16	26.6	1415	365	0
1081	223.52	158.08	25.0	1428	379	0
1118	169.68	178.64	21.9	1172	279	0
1143	197.36	165.52	25.9	1594	654	0
1172	226.56	172.16	25.2	1601	718	0
1175	230.0	167.2	23.4	1448	712	0
1211	187.92	199.12	25.6	1646	409	0
1212	188.32	203.84	26.3	1796	407	0
1214	189.84	196.72	26.8	928	81	0
1218	195.04	195.76	23.6	1059	395	0
1223	198.24	200.08	25.0	1506	399	0
1251	187.68	208.56	23.4	1501	405	0
1299	206.64	142.88	29.5	1849	178	0
1301	202.8	137.92	34.7	1834	167	0
1303	208.0	136.16	33.4	2328	164	0
1306	208.48	140.32	33.9	2329	162	0
1337	187.12	159.2	29.7	1885	671	0
1348	198.72	152.08	27.0	1703	335	0
1365	215.44	161.6	30.5	1124	363	0
1387	142.4	175.36	32.4	2209	195	0
1388	143.52	183.04	29.0	1922	203	0
1389	145.04	175.84	29.5	1900	197	0
1390	145.44	180.88	26.7	1921	199	0
1393	147.36	183.52	31.7	2077	207	0
1399	152.0	183.28	31.6	2229	179	0
1474	229.44	172.56	28.3	1743	713	0
1476	230.4	166.24	28.5	1565	716	0
1477	232.08	169.92	30.8	1024	714	0
1482	144.48	186.88	30.1	2076	205	0
1532	195.84	202.0	33.7	1648	393	0
1581	197.6	208.72	30.3	2140	387	0
1583	200.56	207.68	32.1	2299	101	0
1640	205.68	139.36	34.5	2173	160	0
1678	185.6	152.4	36.6	1715	429	0
1691	194.32	152.48	38.2	2860	425	0
1697	202.24	155.6	38.0	2878	459	0
1708	211.68	158.64	37.1	1404	465	0
1716	215.68	153.28	36.9	2691	471	0
1718	220.4	160.16	31.8	2197	100	0
1719	220.88	155.68	36.2	2533	479	0
1745	146.8	173.2	36.8	2210	201	0
1747	147.52	182.8	35.4	2394	183	0
1748	148.0	179.04	31.2	2230	181	0
1818	231.84	166.88	33.3	2072	715	0
1827	145.12	187.76	33.9	2395	187	0
1861	175.84	204.0	35.5	2783	487	0
1880	196.32	205.44	37.7	2788	103	0
1885	201.84	204.0	32.5	2143	397	0
1935	186.32	207.2	40.3	2444	79	0
1937	193.6	210.0	36.7	2139	403	0
1938	195.68	209.76	33.7	2445	401	0
2040	183.84	148.0	42.5	3028	590	0
2043	190.96	148.48	42.3	3205	417	0
2044	188.48	152.0	43.8	3357	421	0
2052	198.0	152.0	40.6	2861	481	0
2053	200.56	149.28	39.6	3031	473	0
2055	200.96	145.52	43.5	3208	469	0
2062	208.08	156.8	41.1	3229	455	0
2064	210.88	154.88	39.2	2881	463	0
