label_id	VC	davids_cells	VNC
9857	6116	0	1
10610	6220	0	1
10810	6220	0	1
11000	5503	0	1
11013	6220	0	1
11213	6220	0	1
11231	6220	0	1
11400	6213	0	1
11834	5864	0	1
11837	5503	0	1
11846	5864	0	1
12035	6213	0	1
12044	5864	0	1
12062	5760	0	1
12102	5760	0	1
12231	6111	0	1
12233	5864	1	1
12234	5864	0	1
12262	5503	0	1
12461	5864	0	1
12521	5783	0	1
12643	5503	0	1
12644	5760	0	1
12862	5864	0	1
12866	5503	0	1
12868	5760	0	1
12869	5760	0	1
12878	5864	0	1
12887	5760	0	1
12888	5503	0	1
13060	5929	0	1
13270	6111	0	1
13276	5929	0	1
13508	6111	0	1
13509	6111	0	1
13548	6116	0	1
13579	5929	0	0
13713	5929	0	1
13721	5929	0	1
13728	6111	1	1
13748	6116	0	1
13795	5929	0	1
13797	5929	0	1
13799	5929	0	1
13889	5929	0	1
13890	5929	0	1
13897	6111	0	1
13917	5504	0	1
13941	5504	0	1
13981	0	1	1
14112	5929	0	1
14118	6111	0	1
14185	6284	0	1
14186	5929	0	1
14296	6284	1	1
14338	5929	0	1
14372	6116	1	1
14384	6284	0	1
14527	5929	0	1
14538	6284	0	1
14544	5857	0	1
14546	5857	1	1
14547	5857	0	1
14559	5987	1	1
14568	6234	0	1
14602	5929	1	1
14722	6284	0	1
14725	6284	0	1
14730	5857	0	1
14731	5849	1	1
14732	6234	0	1
14744	5910	0	1
14747	6135	0	1
14750	5987	0	1
14765	5910	0	1
14777	5539	1	1
14938	6284	0	1
14944	6135	1	1
14945	6195	0	1
14947	5539	0	1
14958	5857	0	1
14961	6135	0	1
14963	5849	1	1
14975	6130	0	1
14977	6164	0	1
15137	6195	0	1
15141	6234	0	1
15142	5539	0	1
15143	6046	1	1
15155	6195	0	1
15156	6135	0	1
15160	6176	0	1
15167	6160	1	1
15177	5539	0	1
15196	5539	0	1
15197	5929	0	1
15309	5883	1	1
15311	6209	1	1
15313	6211	0	1
15315	6209	0	1
15318	6195	0	1
15319	6195	0	1
15320	6136	0	1
15321	6308	0	1
15322	6308	1	1
15323	6160	0	1
15324	6234	1	1
15325	5504	0	1
15335	6195	1	1
15345	6290	0	1
15353	5910	1	1
15354	6136	0	1
15355	5987	1	1
15376	6284	0	1
15378	6341	1	1
15379	6211	0	1
15380	5922	0	1
15496	5970	1	1
15499	6039	1	1
15500	6211	1	1
15501	6176	0	1
15511	6189	1	1
15515	5764	0	1
15516	5504	1	1
15517	6176	0	1
15518	6046	1	1
15526	5956	1	1
15527	5970	0	1
15528	6188	0	1
15529	6189	0	1
15531	6136	1	1
15541	5910	0	1
15542	6164	0	1
15546	5781	0	1
15552	6341	0	0
15554	5539	0	1
15570	6212	0	0
15572	5922	0	1
15709	5956	1	1
15711	5879	0	1
15715	6212	0	1
15729	6130	1	1
15730	6139	1	1
15733	5764	0	1
15734	6212	1	1
15737	6220	1	1
15738	6195	0	1
15757	6164	1	1
15769	6342	1	1
15770	6341	0	1
15771	6342	0	1
15773	6290	0	1
15791	6290	0	0
15921	5904	0	1
15923	6211	0	1
15934	6188	1	1
15935	6130	0	1
15936	5835	1	1
15939	5764	1	1
15944	5807	1	1
15948	6221	1	1
15949	6137	1	1
15950	6279	0	1
15951	5583	0	1
15952	6139	1	1
15956	6176	1	1
15957	5781	1	1
15958	6212	1	1
15970	5904	0	1
16011	6211	0	1
16012	6212	0	1
16015	6290	0	1
16016	6213	1	1
16017	5535	0	1
16204	5807	0	1
16206	5951	0	1
16209	6212	0	1
16224	6188	1	1
16225	6276	0	1
16227	6290	0	1
16228	6290	0	1
16239	5583	1	1
16240	6137	0	1
16241	5583	0	1
16242	6139	0	1
16243	5583	1	1
16253	5781	0	1
16260	5883	0	1
16280	6213	1	1
16281	6290	0	0
16282	5922	1	1
16436	5883	0	1
16455	5880	0	1
16456	6276	1	1
16461	6046	0	1
16465	6396	0	1
16491	6137	1	1
16493	6276	0	1
16494	6276	0	1
16502	5951	0	1
16503	6279	0	1
16504	5835	0	1
16506	5892	0	1
16508	6290	0	1
16544	5904	1	1
