label_id	clusters	morphologyColourScheme
1090	0	255-255-0-73
1108	1	255-147-172-58
728	1	255-147-172-58
1462	2	255-7-197-226
1487	3	255-98-0-122
577	4	255-254-141-100
1257	1	255-147-172-58
1560	5	255-181-131-84
1866	2	255-7-197-226
1469	3	255-98-0-122
1352	6	255-209-164-255
1540	1	255-147-172-58
2062	5	255-181-131-84
2082	2	255-7-197-226
2463	0	255-255-0-73
1516	3	255-98-0-122
2508	0	255-255-0-73
2190	2	255-7-197-226
2734	6	255-209-164-255
2724	2	255-7-197-226
3151	0	255-255-0-73
3155	7	255-98-132-2
3173	0	255-255-0-73
3157	0	255-255-0-73
2656	6	255-209-164-255
2169	1	255-147-172-58
2999	1	255-147-172-58
2842	1	255-147-172-58
3024	0	255-255-0-73
3368	2	255-7-197-226
2677	8	255-222-69-200
3077	2	255-7-197-226
3287	2	255-7-197-226
3485	8	255-222-69-200
3322	7	255-98-132-2
1711	9	255-0-76-255
3576	10	255-114-16-255
3827	2	255-7-197-226
3122	5	255-181-131-84
3982	2	255-7-197-226
3598	5	255-181-131-84
3636	0	255-255-0-73
4003	0	255-255-0-73
3639	7	255-98-132-2
3497	8	255-222-69-200
4483	4	255-254-141-100
4484	10	255-114-16-255
4319	10	255-114-16-255
4148	5	255-181-131-84
4011	4	255-254-141-100
4532	0	255-255-0-73
4977	5	255-181-131-84
4797	5	255-181-131-84
4839	7	255-98-132-2
5017	3	255-98-0-122
5248	2	255-7-197-226
5046	0	255-255-0-73
5047	0	255-255-0-73
5281	3	255-98-0-122
5068	9	255-0-76-255
5625	2	255-7-197-226
5403	3	255-98-0-122
2645	7	255-98-132-2
5688	5	255-181-131-84
5477	7	255-98-132-2
6192	3	255-98-0-122
6012	2	255-7-197-226
6557	3	255-98-0-122
6640	7	255-98-132-2
6911	8	255-222-69-200
6916	1	255-147-172-58
6673	6	255-209-164-255
6924	6	255-209-164-255
6923	7	255-98-132-2
6960	7	255-98-132-2
6704	9	255-0-76-255
6246	10	255-114-16-255
3518	9	255-0-76-255
6439	3	255-98-0-122
5510	0	255-255-0-73
6227	7	255-98-132-2
7012	3	255-98-0-122
6800	9	255-0-76-255
6601	10	255-114-16-255
6100	3	255-98-0-122
7081	5	255-181-131-84
7797	5	255-181-131-84
6409	7	255-98-132-2
7608	2	255-7-197-226
6177	7	255-98-132-2
5096	9	255-0-76-255
6544	9	255-0-76-255
7017	6	255-209-164-255
7456	2	255-7-197-226
7708	6	255-209-164-255
7532	7	255-98-132-2
6611	8	255-222-69-200
7942	3	255-98-0-122
7106	6	255-209-164-255
8140	5	255-181-131-84
7378	1	255-147-172-58
8075	9	255-0-76-255
8116	9	255-0-76-255
8101	3	255-98-0-122
8350	8	255-222-69-200
8556	2	255-7-197-226
7177	9	255-0-76-255
8801	1	255-147-172-58
8591	6	255-209-164-255
8850	4	255-254-141-100
8882	1	255-147-172-58
7416	9	255-0-76-255
8875	9	255-0-76-255
9409	9	255-0-76-255
10089	5	255-181-131-84
9912	9	255-0-76-255
9292	6	255-209-164-255
9343	3	255-98-0-122
10141	3	255-98-0-122
8813	7	255-98-132-2
9401	9	255-0-76-255
9541	3	255-98-0-122
9566	10	255-114-16-255
9235	9	255-0-76-255
10012	9	255-0-76-255
9441	4	255-254-141-100
10379	3	255-98-0-122
10810	4	255-254-141-100
10632	9	255-0-76-255
10661	0	255-255-0-73
10155	10	255-114-16-255
10463	7	255-98-132-2
9963	10	255-114-16-255
10455	1	255-147-172-58
10516	0	255-255-0-73
10767	9	255-0-76-255
10910	9	255-0-76-255
10607	8	255-222-69-200
11623	5	255-181-131-84
11039	2	255-7-197-226
11069	3	255-98-0-122
11294	7	255-98-132-2
10743	8	255-222-69-200
11549	3	255-98-0-122
