label_id	Cardiovascular system	Midgut	Sensory Motile Cilia	Nervous System	Stem cells	Somatic musculature	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Enteric nervous system	zero	autofluorescence	most probable cluster
1	1.6443940146379002e-14	2.9785545842179217e-12	0.000560687419269839	1.4650831616447599e-08	8.964252821916112e-06	8.641698149123877e-16	0.9993787880812849	1.391928138777181e-13	5.1545592656642304e-05	1.995048569282434e-26	2.688590047264926e-26	7.007723103644272e-108	0.0	Epidermis
2	2.5323971381919565e-11	5.032640122627945e-11	3.748784739084878e-05	4.847827418847483e-06	0.005161087654602968	6.168546531720174e-14	0.922206273372217	8.41682457892499e-11	0.07259030313756074	2.6270573647390025e-17	9.29406251070589e-13	4.633170594205539e-104	0.0	Epidermis
3	1.841355492100844e-14	9.432668399487509e-12	0.0028852150141455155	0.00024768932001865165	0.0032916609662597147	5.980169358746411e-14	0.9805868676475448	1.3072165385079413e-13	0.012988567030448754	3.106353190420544e-17	1.1940914676697472e-11	3.2736709292765466e-141	2.456217804415214e-277	Epidermis
4	1.0944063342847927e-08	4.578817937390736e-06	0.0077361910428058	0.00043310605015381003	0.030443632484059638	2.960640923740367e-10	0.9210562213398571	3.7971220546264797e-05	0.0402882877906774	1.3173610659096673e-12	1.2517820839921221e-11	4.080261843415434e-56	0.0	Epidermis
5	3.5400300707030776e-33	3.9231960602146123e-31	0.9998227347236872	0.00017725645579883567	2.384859294403191e-09	3.175253817396403e-28	4.595946212547759e-12	3.3090237024816396e-29	6.431058809755855e-09	6.172909713896552e-32	2.546490673944257e-27	0.0	6.938778826953848e-183	Sensory Motile Cilia
6	3.2441219521210955e-17	1.0517311473088841e-18	0.999970501733503	2.949047140046598e-05	6.708570452594532e-09	5.706337969491297e-20	4.4223355954242987e-13	1.96148146705414e-11	1.0664679124716392e-09	3.3709768344938004e-20	1.1671154535549655e-15	1.6291750376460208e-139	0.0	Sensory Motile Cilia
7	2.4156336808752132e-11	5.14243926380674e-09	0.12661939344874337	0.86739096826782	0.004947253367953793	2.7285950640002444e-11	0.00022340361501762342	6.648061824462718e-13	0.0008186479276420946	3.279806142881851e-07	1.9766234888575927e-10	7.272334359385787e-97	0.0	Nervous System
8	2.0959073655543645e-22	1.4380548451002607e-20	0.002563794629893037	0.9965428296989337	3.325961144286896e-05	1.0084571533581592e-21	3.2088527675416537e-08	2.6609831358802726e-31	0.0008600839712024945	6.911549364287398e-22	3.7893791258062837e-16	2.5905583294264886e-179	1.7990262344595854e-252	Nervous System
9	5.869872875947004e-29	5.610982458049639e-27	0.999999231019394	7.688391938883345e-07	6.76649792859096e-11	1.62590794374169e-29	4.236827628056278e-12	6.27751835412131e-24	6.95102863049307e-11	7.516171693968189e-30	1.0609981202227288e-21	7.469879787817823e-241	4.644815077911118e-224	Sensory Motile Cilia
10	1.6958394218774099e-25	4.5561353850987545e-28	0.999861629445408	0.00013837026828407366	2.809621802819299e-10	3.4509891515971844e-24	1.439910900513286e-16	1.944615974081282e-21	5.34545969083675e-12	1.02053669588356e-28	4.0212113880971066e-19	1.2872970046450284e-218	8.459179235854372e-247	Sensory Motile Cilia
