label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	most probable cluster
1	179.0399932861328	181.75999450683597	4.200000286102295	176.72	178.08	2.0	183.44	184.0	8.9	123583	clade6sub19
2	180.63999938964844	137.75999450683594	12.600000381469727	178.4	135.04	7.6	186.72	141.12	18.0	110436	nocladesub3
3	195.3600006103516	144.63999938964844	9.199999809265137	189.52	142.56	5.5	197.68	147.68	12.3	108998	clade6sub16
4	173.9199981689453	161.1199951171875	13.199999809265135	169.52	158.16	10.2	176.64	163.76	15.7	124776	clade6sub16
5	146.239990234375	188.1599884033203	19.80000114440918	143.36	183.12	14.6	150.48	190.96	24.9	195207	clade10sub19
6	169.44000244140625	173.27999877929688	15.40000057220459	166.0	170.48	12.7	171.76	175.76	18.0	98576	clade10sub8
7	201.75999450683597	172.0	12.600000381469727	199.28	170.96	10.3	204.4	174.08	18.0	61417	clade11sub8subsub0
8	168.0	206.55999755859372	20.0	162.16	204.48	14.7	170.72	210.0	23.5	221668	nocladesub3
9	197.9199981689453	121.91999816894531	22.200000762939453	194.64	118.32	18.7	203.92	126.64	25.5	91225	clade10sub9
10	197.27999877929688	141.9199981689453	20.80000114440918	194.96	139.76	17.7	199.92	144.48	23.6	109276	clade10sub20
11	206.55999755859372	162.87998962402344	22.399999618530273	204.64	159.92000000000004	18.6	208.8	164.96	24.9	81909	clade11sub4subsub2-5-8
12	155.36000061035156	179.36000061035156	17.80000114440918	153.44	176.0	15.2	160.16	184.32	22.8	153546	clade10sub19
13	162.55999755859375	172.16000366210938	19.200000762939453	157.92000000000004	168.72	15.2	165.36	174.72	21.700000000000006	175280	clade9sub7
14	201.1199951171875	178.239990234375	22.80000114440918	198.8	175.36	19.5	205.04	180.8	25.3	97516	clade11sub8subsub0
15	188.8000030517578	188.63999938964844	18.80000114440918	185.6	185.2	15.0	191.6	191.76	21.8	95703	clade11sub7subsub6
16	213.9199981689453	194.55999755859372	24.20000076293945	212.16	191.92	19.8	218.0	199.2	27.700000000000006	80042	nocladesub19
17	177.75999450683594	132.80000305175778	28.80000114440918	175.12	131.04	23.0	181.12	139.28	33.9	191076	nocladesub3
18	204.47999572753903	141.9199981689453	23.20000076293945	201.92	139.04	20.9	207.12	144.4	26.5	94480	clade10sub9
19	181.59999084472656	156.0	24.80000114440918	179.6	154.72	22.5	187.76	157.76	28.5	85776	clade3.1sub23
20	206.55999755859372	145.9199981689453	27.20000076293945	203.2	143.6	24.700000000000006	209.52	148.48	30.4	105171	clade11sub8subsub0
21	139.36000061035156	187.83999633789062	24.399999618530273	137.6	185.36	20.5	141.20000000000005	189.52	29.9	72081	clade10sub9
22	164.16000366210938	199.83999633789062	27.20000076293945	161.76	196.96	23.200000000000006	166.32	202.0	31.5	99174	clade11sub30
23	200.1599884033203	141.44000244140625	31.20000076293945	196.96	138.96	29.0	202.56	143.92000000000004	34.800000000000004	102706	clade11sub4subsub2-5-8
24	189.59999084472656	164.47999572753906	30.60000038146973	187.36	162.88	26.3	193.92	168.72	31.3	100935	clade11sub23
25	174.39999389648438	176.47999572753906	29.20000076293945	172.56	172.88	26.4	177.04	180.88	31.5	102267	clade11sub23
26	174.72000122070312	116.15999603271484	33.60000228881836	172.64	113.84	32.2	176.64	118.0	36.6	47936	nocladesub3
27	194.87998962402344	120.0	31.80000114440918	193.68	118.56	30.0	196.56	121.12	39.90000000000001	25382	clade10sub9
28	132.31999206542972	162.72000122070312	35.79999923706055	129.52	160.56	32.1	133.76	164.24	39.1	35422	clade11sub28subsub2
29	159.51998901367188	164.63999938964844	37.400001525878906	157.28	162.64	33.1	162.32	168.0	40.90000000000001	105420	clade11sub23
30	142.87998962402344	184.3199920654297	37.0	140.24	180.48	33.9	145.68	186.48	39.90000000000001	83908	clade11sub18subsub2
31	172.8000030517578	169.75999450683594	36.79999923706055	170.64	166.4	34.0	175.44	174.24	39.5	109987	clade11sub23
32	158.55999755859375	120.15999603271484	41.400001525878906	156.08	117.68	37.4	163.76	122.8	44.90000000000001	110363	nocladesub3
