label_id	max_midgut_endo	max_first_view	colour_midgut	colour_first_view
1	1.4584354339590993e-14	0.5785290671518376	255-232-213-56	255-254-152-44
2	2.3134383004278946e-13	0.0026390933583993	255-232-213-56	255-254-152-44
3	1.6369759329641372e-14	0.0146923226143767	255-24-215-202	255-254-152-44
4	2.877646590978873e-06	0.2445797192755271	255-70-122-242	255-254-152-44
5	3.0546221517684055e-29	1.1941000175396542e-12	255-247-113-27	255-70-122-242
6	3.0110558843161856e-18	5.4899905951887056e-15	255-70-122-242	255-212-231-53
7	1.9374208197336057e-07	1.1446408031067798e-05	255-70-122-242	255-212-231-53
8	8.588417934550232e-19	2.8473792299750303e-11	255-24-215-202	255-122-4-2
9	3.9170380137395846e-28	1.5664364505655682e-15	255-24-215-202	255-122-4-2
10	6.263123708852905e-25	6.401153291311317e-16	255-24-215-202	255-26-209-210
11	2.6264636955121577e-25	1.6028759771583158e-19	255-24-215-202	255-26-209-210
12	1.5005481496383018e-23	3.7814494694846456e-16	255-24-215-202	255-70-122-242
13	5.84050609556535e-24	4.0790869626216073e-16	255-24-215-202	255-254-152-44
14	1.6871571923976094e-17	1.588788994992609e-16	255-24-215-202	255-101-252-104
15	9.93248655141106e-25	1.0662706234257795e-17	255-24-215-202	255-26-209-210
16	1.2873843139634845e-19	2.3649414275183004e-14	255-70-122-242	255-70-122-242
17	6.110181208324257e-20	2.0386216630642128e-10	255-24-215-202	255-254-152-44
18	1.5022965354994974e-29	6.810190432022706e-21	255-70-122-242	255-70-122-242
19	6.095529678711838e-16	4.251539192120401e-11	255-24-215-202	255-26-209-210
20	1.0494581672263664e-24	1.2942246772772305e-18	255-70-122-242	255-26-209-210
21	2.4979195211118194e-25	2.709799712231573e-12	255-70-122-242	255-26-209-210
22	4.587408546614093e-28	3.1771018172242627e-20	255-24-215-202	255-122-4-2
23	2.139531819580394e-25	4.0198514840973715e-20	255-24-215-202	255-26-209-210
24	1.0213623911142085e-15	5.5635920823934045e-14	255-24-215-202	255-122-4-2
25	1.7584825877005263e-10	1.4260718237259741e-08	255-70-122-242	255-101-252-104
26	6.395695982385796e-08	0.0781551273406259	255-232-213-56	255-70-122-242
27	1.8609694017388737e-21	1.4172699425436972e-14	255-247-113-27	255-122-4-2
28	2.5060212928347692e-09	0.228193374557461	255-232-213-56	255-70-122-242
29	1.8582935531697238e-11	5.749062558992805e-11	255-24-215-202	255-101-252-104
30	3.5061677839453463e-17	4.307434729378885e-14	255-70-122-242	255-70-122-242
31	3.4438709335907136e-14	9.789876762139398e-13	255-70-122-242	255-101-252-104
32	9.869708221870056e-05	5.281168330415351e-05	255-128-254-83	255-122-4-2
33	1.040637751574468e-31	4.433057520282568e-27	255-70-122-242	255-70-122-242
34	4.130037909469415e-08	0.0838780359357609	255-24-215-202	255-122-4-2
35	4.80728404619835e-07	9.485096860322268e-07	255-122-4-2	255-122-4-2
36	8.07088784120854e-08	0.4116034983519105	255-222-62-8	255-254-152-44
37	5.16287851514376e-13	1.1780171917081626e-11	255-70-122-242	255-122-4-2
38	2.831900924542586e-23	1.7314525272860454e-19	255-24-215-202	255-122-4-2
39	2.787588448244014e-19	1.7884030948807802e-17	255-70-122-242	255-122-4-2
41	1.833938374109178e-07	0.3067235178409488	255-128-254-83	255-122-4-2
42	1.147087653006054e-29	1.1774773223961209e-19	255-24-215-202	255-122-4-2
43	2.5113802955958185e-16	6.817147419913731e-09	255-70-122-242	255-122-4-2
44	2.587833141307808e-13	1.2674092650355341e-13	255-24-215-202	255-122-4-2
45	1.3558422073047587e-20	1.1582420317730055e-14	255-24-215-202	255-122-4-2
46	0.0003201675261582	0.0031174743658678	255-232-213-56	255-70-122-242
47	1.051680958530528e-19	3.7702978761564084e-13	255-70-122-242	255-70-122-242
48	1.7317589115041252e-05	3.4152534412455363e-05	255-180-27-1	255-101-252-104
49	1.1238212427814694e-10	2.612113315560432e-10	255-70-122-242	255-101-252-104
50	1.2598622431082044e-32	2.7322700509683563e-19	255-70-122-242	255-26-209-210
