label_id	colour
1	255-254-152-44
2	255-254-152-44
3	255-254-152-44
4	255-254-152-44
5	255-70-122-242
6	255-212-231-53
7	255-212-231-53
8	255-122-4-2
9	255-122-4-2
10	255-26-209-210
11	255-26-209-210
12	255-70-122-242
13	255-254-152-44
14	255-101-252-104
15	255-26-209-210
16	255-70-122-242
17	255-254-152-44
18	255-70-122-242
19	255-26-209-210
20	255-26-209-210
21	255-26-209-210
22	255-122-4-2
23	255-26-209-210
24	255-122-4-2
25	255-101-252-104
26	255-70-122-242
27	255-122-4-2
28	255-70-122-242
29	255-101-252-104
30	255-70-122-242
31	255-101-252-104
32	255-122-4-2
33	255-70-122-242
34	255-122-4-2
35	255-122-4-2
36	255-254-152-44
37	255-122-4-2
38	255-122-4-2
39	255-122-4-2
41	255-122-4-2
42	255-122-4-2
43	255-122-4-2
44	255-122-4-2
45	255-122-4-2
46	255-70-122-242
47	255-70-122-242
48	255-101-252-104
49	255-101-252-104
50	255-26-209-210
51	255-122-4-2
52	255-26-209-210
53	255-122-4-2
54	255-122-4-2
55	255-70-122-242
56	255-122-4-2
57	255-254-152-44
58	255-101-252-104
59	255-101-252-104
60	255-212-231-53
61	255-122-4-2
62	255-101-252-104
68	255-122-4-2
69	255-212-231-53
70	255-212-231-53
71	255-70-122-242
72	255-70-122-242
73	255-122-4-2
74	255-70-122-242
75	255-70-122-242
77	255-26-209-210
78	255-101-252-104
79	255-212-231-53
80	255-122-4-2
81	255-70-122-242
82	255-26-209-210
83	255-101-252-104
84	255-101-252-104
85	255-101-252-104
86	255-101-252-104
87	255-26-209-210
88	255-254-152-44
89	255-212-231-53
90	255-212-231-53
91	255-70-122-242
92	255-70-122-242
93	255-101-252-104
94	255-70-122-242
95	255-122-4-2
96	255-212-231-53
97	255-70-122-242
98	255-70-122-242
99	255-70-122-242
100	255-26-209-210
101	255-122-4-2
102	255-101-252-104
103	255-70-122-242
104	255-26-209-210
105	255-101-252-104
106	255-70-122-242
107	255-70-122-242
109	255-101-252-104
110	255-212-231-53
111	255-70-122-242
112	255-26-209-210
113	255-70-122-242
115	255-212-231-53
116	255-70-122-242
117	255-212-231-53
118	255-70-122-242
119	255-70-122-242
120	255-212-231-53
121	255-70-122-242
122	255-122-4-2
123	255-122-4-2
124	255-70-122-242
125	255-70-122-242
127	255-101-252-104
128	255-101-252-104
129	255-26-209-210
130	255-26-209-210
131	255-26-209-210
132	255-212-231-53
133	255-70-122-242
134	255-122-4-2
135	255-122-4-2
136	255-122-4-2
137	255-70-122-242
138	255-70-122-242
139	255-26-209-210
140	255-26-209-210
141	255-70-122-242
142	255-70-122-242
143	255-26-209-210
144	255-70-122-242
145	255-122-4-2
146	255-70-122-242
147	255-70-122-242
148	255-122-4-2
149	255-212-231-53
150	255-70-122-242
151	255-101-252-104
152	255-26-209-210
153	255-101-252-104
154	255-26-209-210
155	255-212-231-53
156	255-70-122-242
157	255-122-4-2
158	255-70-122-242
159	255-70-122-242
160	255-212-231-53
161	255-101-252-104
162	255-70-122-242
163	255-70-122-242
164	255-70-122-242
165	255-70-122-242
