label_id	colour
1	255-232-213-56
2	255-232-213-56
3	255-24-215-202
4	255-70-122-242
5	255-247-113-27
6	255-70-122-242
7	255-70-122-242
8	255-24-215-202
9	255-24-215-202
10	255-24-215-202
11	255-24-215-202
12	255-24-215-202
13	255-24-215-202
14	255-24-215-202
15	255-24-215-202
16	255-70-122-242
17	255-24-215-202
18	255-70-122-242
19	255-24-215-202
20	255-70-122-242
21	255-70-122-242
22	255-24-215-202
23	255-24-215-202
24	255-24-215-202
25	255-70-122-242
26	255-232-213-56
27	255-247-113-27
28	255-232-213-56
29	255-24-215-202
30	255-70-122-242
31	255-70-122-242
32	255-128-254-83
33	255-70-122-242
34	255-24-215-202
35	255-122-4-2
36	255-222-62-8
37	255-70-122-242
38	255-24-215-202
39	255-70-122-242
41	255-128-254-83
42	255-24-215-202
43	255-70-122-242
44	255-24-215-202
45	255-24-215-202
46	255-232-213-56
47	255-70-122-242
48	255-180-27-1
49	255-70-122-242
50	255-70-122-242
51	255-24-215-202
52	255-24-215-202
53	255-24-215-202
54	255-24-215-202
55	255-24-215-202
56	255-70-122-242
57	255-232-213-56
58	255-70-122-242
59	255-70-122-242
60	255-70-122-242
61	255-24-215-202
62	255-122-4-2
68	255-128-254-83
69	255-70-122-242
70	255-24-215-202
71	255-232-213-56
72	255-70-122-242
73	255-24-215-202
74	255-128-254-83
75	255-122-4-2
77	255-24-215-202
78	255-122-4-2
79	255-70-122-242
80	255-24-215-202
81	255-187-244-52
82	255-24-215-202
83	255-187-244-52
84	255-70-122-242
85	255-70-122-242
86	255-128-254-83
87	255-70-122-242
88	255-128-254-83
89	255-232-213-56
90	255-70-122-242
91	255-232-213-56
92	255-232-213-56
93	255-187-244-52
94	255-247-113-27
95	255-24-215-202
96	255-70-122-242
97	255-222-62-8
98	255-187-244-52
99	255-187-244-52
100	255-128-254-83
101	255-24-215-202
102	255-24-215-202
103	255-24-215-202
104	255-24-215-202
105	255-53-243-148
106	255-128-254-83
107	255-24-215-202
109	255-128-254-83
110	255-24-215-202
111	255-128-254-83
112	255-232-213-56
113	255-24-215-202
115	255-70-122-242
116	255-24-215-202
117	255-232-213-56
118	255-70-122-242
119	255-70-122-242
120	255-70-122-242
121	255-24-215-202
122	255-24-215-202
