label_id	max_first_view	best_first_view_type	colour_first_view
1	0.5785290671518376	clade6sub19	255-254-152-44
2	0.0026390933583993	clade6sub19	255-254-152-44
3	0.0146923226143767	clade6sub19	255-254-152-44
4	0.2445797192755271	clade6sub19	255-254-152-44
5	1.1941000175396542e-12	nocladesub2	255-70-122-242
6	5.4899905951887056e-15	nocladesub20	255-212-231-53
7	1.1446408031067798e-05	nocladesub20	255-212-231-53
8	2.8473792299750303e-11	nocladesub12	255-122-4-2
9	1.5664364505655682e-15	nocladesub12	255-122-4-2
10	6.401153291311317e-16	nocladesub10	255-26-209-210
11	1.6028759771583158e-19	nocladesub10	255-26-209-210
12	3.7814494694846456e-16	nocladesub2	255-70-122-242
13	4.0790869626216073e-16	clade6sub19	255-254-152-44
14	1.588788994992609e-16	nocladesub22	255-101-252-104
15	1.0662706234257795e-17	nocladesub10	255-26-209-210
16	2.3649414275183004e-14	nocladesub2	255-70-122-242
17	2.0386216630642128e-10	clade6sub19	255-254-152-44
18	6.810190432022706e-21	nocladesub2	255-70-122-242
19	4.251539192120401e-11	nocladesub10	255-26-209-210
20	1.2942246772772305e-18	nocladesub10	255-26-209-210
21	2.709799712231573e-12	nocladesub10	255-26-209-210
22	3.1771018172242627e-20	nocladesub12	255-122-4-2
23	4.0198514840973715e-20	nocladesub10	255-26-209-210
24	5.5635920823934045e-14	nocladesub12	255-122-4-2
25	1.4260718237259741e-08	nocladesub22	255-101-252-104
26	0.0781551273406259	nocladesub2	255-70-122-242
27	1.4172699425436972e-14	nocladesub12	255-122-4-2
28	0.228193374557461	nocladesub2	255-70-122-242
29	5.749062558992805e-11	nocladesub22	255-101-252-104
30	4.307434729378885e-14	nocladesub2	255-70-122-242
31	9.789876762139398e-13	nocladesub22	255-101-252-104
32	5.281168330415351e-05	nocladesub12	255-122-4-2
33	4.433057520282568e-27	nocladesub2	255-70-122-242
34	0.0838780359357609	nocladesub12	255-122-4-2
35	9.485096860322268e-07	nocladesub12	255-122-4-2
36	0.4116034983519105	clade6sub19	255-254-152-44
37	1.1780171917081626e-11	nocladesub12	255-122-4-2
38	1.7314525272860454e-19	nocladesub12	255-122-4-2
39	1.7884030948807802e-17	nocladesub12	255-122-4-2
41	0.3067235178409488	nocladesub12	255-122-4-2
42	1.1774773223961209e-19	nocladesub12	255-122-4-2
43	6.817147419913731e-09	nocladesub12	255-122-4-2
44	1.2674092650355341e-13	nocladesub12	255-122-4-2
45	1.1582420317730055e-14	nocladesub12	255-122-4-2
46	0.0031174743658678	nocladesub2	255-70-122-242
47	3.7702978761564084e-13	nocladesub2	255-70-122-242
48	3.4152534412455363e-05	nocladesub22	255-101-252-104
49	2.612113315560432e-10	nocladesub22	255-101-252-104
50	2.7322700509683563e-19	nocladesub10	255-26-209-210
51	1.5534998351624654e-17	nocladesub12	255-122-4-2
52	9.441389959570212e-17	nocladesub10	255-26-209-210
53	1.0346050010239868e-15	nocladesub12	255-122-4-2
54	1.9358701467640792e-20	nocladesub12	255-122-4-2
55	1.1611113347731547e-14	nocladesub2	255-70-122-242
56	1.315573007549406e-06	nocladesub12	255-122-4-2
57	0.0068778058602415	clade6sub19	255-254-152-44
58	9.534451877468496e-17	nocladesub22	255-101-252-104
59	3.532762722650474e-13	nocladesub22	255-101-252-104
60	3.5511000244595244e-12	nocladesub20	255-212-231-53
61	1.9411888782167689e-19	nocladesub12	255-122-4-2
62	2.7917157040885847e-05	nocladesub22	255-101-252-104
68	3.1625141248286098e-06	nocladesub12	255-122-4-2
69	1.332679605103681e-14	nocladesub20	255-212-231-53
70	3.794836640812306e-15	nocladesub20	255-212-231-53
71	0.0019593664984472	nocladesub2	255-70-122-242
72	2.83529597234128e-05	nocladesub2	255-70-122-242
73	6.325395006353247e-19	nocladesub12	255-122-4-2
74	0.0001882995235799	nocladesub2	255-70-122-242
75	0.0001544116700997	nocladesub2	255-70-122-242
77	1.0076083348175282e-23	nocladesub10	255-26-209-210
78	0.000826652919032	nocladesub22	255-101-252-104
79	2.995239323808432e-20	nocladesub20	255-212-231-53
80	3.569501259222357e-17	nocladesub12	255-122-4-2
81	5.270690064711808e-05	nocladesub2	255-70-122-242
82	6.905412422408804e-17	nocladesub10	255-26-209-210
83	0.0002498690321258	nocladesub22	255-101-252-104
84	6.238582628536588e-21	nocladesub22	255-101-252-104
85	1.5210645964036702e-13	nocladesub22	255-101-252-104
86	0.0001803612499837	nocladesub22	255-101-252-104
87	0.0172935105857572	nocladesub10	255-26-209-210
88	0.0270896127950509	clade6sub19	255-254-152-44
89	2.0727101746292162e-07	nocladesub20	255-212-231-53
90	3.06353766518702e-18	nocladesub20	255-212-231-53
91	0.0014461898002114	nocladesub2	255-70-122-242
92	0.5059167227144623	nocladesub2	255-70-122-242
93	5.461257185033773e-05	nocladesub22	255-101-252-104
94	1.4305546589450768e-11	nocladesub2	255-70-122-242
95	0.0022764544053049	nocladesub12	255-122-4-2
96	1.9981593928742692e-13	nocladesub20	255-212-231-53
97	1.119275458981581e-11	nocladesub2	255-70-122-242
98	2.0952413209316387e-06	nocladesub2	255-70-122-242
99	1.1559936942901276e-05	nocladesub2	255-70-122-242
100	0.0549523429759995	nocladesub10	255-26-209-210
101	0.1610971004548494	nocladesub12	255-122-4-2
102	2.0479142753391343e-06	nocladesub22	255-101-252-104
103	7.459821720848913e-15	nocladesub2	255-70-122-242
104	1.0096127789998894e-16	nocladesub10	255-26-209-210
105	1.3697180801803392e-11	nocladesub22	255-101-252-104
106	7.622318199182912e-06	nocladesub2	255-70-122-242
107	0.0001820812948183	nocladesub2	255-70-122-242
109	7.273841186514534e-05	nocladesub22	255-101-252-104
110	1.835244896930772e-19	nocladesub20	255-212-231-53
111	2.5419302644892853e-08	nocladesub2	255-70-122-242
112	0.9996244550037297	nocladesub10	255-26-209-210
113	2.293738951408281e-17	nocladesub2	255-70-122-242
115	2.9196508184619e-07	nocladesub20	255-212-231-53
116	5.835039505732234e-10	nocladesub2	255-70-122-242
117	2.3091802394822704e-05	nocladesub20	255-212-231-53
118	3.896339664999842e-16	nocladesub2	255-70-122-242
119	0.0012444716060172	nocladesub2	255-70-122-242
120	2.948463007101358e-09	nocladesub20	255-212-231-53
121	4.420222527341053e-19	nocladesub2	255-70-122-242
122	1.0777875018822059e-13	nocladesub12	255-122-4-2
123	8.970939261437559e-12	nocladesub12	255-122-4-2
124	2.327279965631528e-20	nocladesub2	255-70-122-242
125	0.0639596763273447	nocladesub2	255-70-122-242
127	4.294001083465993e-09	nocladesub22	255-101-252-104
128	1.954459488732772e-12	nocladesub22	255-101-252-104
129	0.0799338325759704	nocladesub10	255-26-209-210
