label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
385	127.36000061035156	102.87999725341795	242.40000915527344	122.64	98.48	238.5	131.6	105.44	244.5	153937
411	122.39999389648438	112.95999908447266	257.0	118.64	110.16	254.5	126.08	118.32	259.6	180851
3540	183.83999633789062	145.9199981689453	63.4000015258789	180.64	144.24	60.7	185.6	148.4	64.4	49061
3610	153.59999084472656	167.51998901367188	64.40000152587889	150.88	164.56	61.90000000000001	156.48	169.6	67.7	108034
3614	156.47999572753906	170.0800018310547	64.20000457763672	154.08	167.84	61.7	158.32	173.04	67.5	71961
3617	160.47999572753906	173.27999877929688	63.79999923706055	158.08	170.32	61.3	162.88	176.56	66.3	76243
3903	147.1999969482422	156.0	69.20000457763672	145.20000000000005	150.8	66.10000000000001	149.6	157.92000000000004	72.2	91426
3982	153.1199951171875	170.72000122070312	69.40000152587889	151.36	168.4	67.4	156.16	172.56	71.9	54993
4907	175.0399932861328	148.0	86.20000457763672	172.96	145.52	83.30000000000003	177.36	151.28	88.60000000000002	85844
6277	121.75999450683594	204.3199920654297	108.8000030517578	119.76	200.08	105.2	124.64	208.4	110.7	92907
10228	128.80000305175778	123.83999633789062	222.1999969482422	122.48	114.4	218.9	132.08	125.68	223.2	187605
10232	144.16000366210938	113.91999816894531	220.1999969482422	141.20000000000005	110.56	218.4	147.6	121.6	223.2	187881
10381	122.87999725341795	120.15999603271484	224.6000061035156	119.6	118.48	222.5	126.8	127.44	227.3	159230
10382	125.75999450683594	108.0	224.0	123.12	104.16	221.9	130.8	112.24	226.5	173417
10386	141.59999084472656	119.83999633789062	224.6000061035156	138.32	111.44	221.2	143.52	122.8	227.2	154745
10387	152.0	116.0	225.40000915527344	147.68	111.76	221.9	154.4	119.28	226.4	140586
10388	150.87998962402344	110.07999420166016	225.0	148.72	105.84	222.2	155.12	112.8	228.4	142462
10504	133.27999877929688	105.75999450683594	233.40000915527344	130.24	101.12	229.6	137.04	109.44	235.8	155955
10528	132.31999206542972	118.07999420166016	230.40000915527344	130.08	115.28	227.3	135.2	124.72	233.9	155458
10531	149.27999877929688	106.07999420166016	230.0	144.8	103.6	226.1	153.44	108.88	232.8	174197
10533	150.72000122070312	113.1199951171875	232.8000030517578	147.04	108.4	226.9	155.92000000000004	115.28	235.9	153174
10534	158.87998962402344	112.63999938964844	227.8000030517578	155.36	109.28	225.0	162.24	116.72	230.8	195360
10644	125.27999877929688	100.0	235.40000915527344	121.76	97.12	233.3	129.44	105.76	238.4	175909
10647	134.08000183105472	100.47999572753906	235.0	129.92000000000002	98.48	232.2	137.52	105.52	238.7	169630
10671	118.7199935913086	115.5199966430664	237.1999969482422	116.56	109.2	234.6	123.92	119.28	239.9	185815
10672	125.1199951171875	118.39999389648438	234.1999969482422	119.36	112.0	230.6	127.36	121.2	234.8	173682
10702	119.1999969482422	126.55999755859376	237.1999969482422	116.56	122.64	233.9	122.8	130.48	240.6	188408
10703	121.27999877929688	132.95999145507812	235.40000915527344	118.56	128.48	232.6	124.88	137.12	238.6	189730
10705	131.36000061035156	129.75999450683594	234.40000915527344	128.64	127.44	232.2	133.12	137.20000000000002	239.9	153701
10706	155.0399932861328	127.04000091552734	237.1999969482422	150.48	122.48	234.3	159.04	131.44	239.6	212557
10791	131.67999267578122	97.43999481201172	242.6000061035156	125.92	95.12	239.2	135.44	100.8	245.4	179475
10810	116.0	113.1199951171875	242.40000915527344	113.68	108.8	239.6	118.8	117.04	245.4	136404
10813	151.1999969482422	106.23999786376952	238.40000915527344	148.8	103.2	235.9	156.56	110.08	242.3	196660
10814	157.59999084472656	111.36000061035156	241.1999969482422	154.24	106.96	237.8	161.52	115.52	244.8	209680
10815	161.9199981689453	114.87999725341795	238.8000030517578	156.64	109.04	235.0	164.8	118.72	241.5	202790
10832	121.1199951171875	135.67999267578122	242.0	118.48	132.88	239.2	124.4	138.24	247.7	119109
10910	113.91999816894531	101.5999984741211	247.1999969482422	109.92	96.48	244.3	116.96	104.88	249.8	192765
10912	118.7199935913086	97.91999816894531	247.6000061035156	114.4	92.96	244.5	122.4	100.96	250.2	220356
10914	124.31999969482422	95.04000091552734	244.6000061035156	119.84	93.52	242.6	128.64	99.84	247.8	160825
10918	137.1199951171875	98.87999725341795	244.1999969482422	132.56	96.0	241.3	140.64	102.16	247.0	165075
10919	143.67999267578125	100.79999542236328	246.6000061035156	136.4	99.28	243.7	146.56	105.2	248.9	190663
10944	121.91999816894531	114.07999420166016	245.0	116.4	111.04	242.1	125.2	118.32	248.4	187254
10945	119.68000030517578	121.1199951171875	243.40000915527344	116.8	117.84	240.9	124.72	125.2	247.9	202941
10947	145.59999084472656	105.75999450683594	248.1999969482422	142.24	103.44	244.6	149.12	109.12	251.9	158961
10948	148.95999145507812	113.5999984741211	244.8000030517578	146.56	108.24	242.7	153.28	118.08	247.2	182010
10963	125.91999816894531	125.91999816894531	244.8000030517578	119.52	123.6	241.8	129.44	130.64	247.8	191291
10966	135.83999633789062	143.0399932861328	246.6000061035156	133.52	137.04	244.7	143.52	145.28	248.1	167669
10968	154.39999389648438	135.19999694824222	243.6000061035156	150.16	130.72	241.0	158.72	140.16	245.8	246277
11030	135.36000061035156	97.75999450683594	249.40000915527344	132.08	95.6	247.0	140.72	101.36	252.6	167633
11032	140.0	104.47999572753906	251.40000915527344	135.76	99.04	248.3	146.24	107.76	253.5	272103
11051	128.31999206542972	121.5999984741211	250.40000915527344	124.32	117.28	248.4	132.4	126.56	252.8	183882
11052	139.67999267578122	110.55999755859376	250.1999969482422	136.32	106.24	246.9	143.76	113.28	253.2	185172
11053	144.3199920654297	114.72000122070312	248.40000915527344	141.12	110.16	246.1	149.92000000000004	118.08	251.6	197330
11055	153.27999877929688	111.04000091552734	247.6000061035156	150.72	108.0	245.1	156.48	115.28	250.2	141068
11071	125.1199951171875	129.1199951171875	248.6000061035156	121.2	126.88	246.2	128.16	132.8	251.8	140035
11147	130.72000122070312	99.1999969482422	253.40000915527344	126.16	96.0	250.0	133.76	102.32	256.1	194770
11152	135.83999633789062	104.0	255.1999969482422	133.6	99.28	252.7	140.8	107.44	257.6	179119
11180	117.91999816894531	113.27999877929688	252.0	115.2	109.92	250.1	123.6	118.4	254.5	176394
11182	122.7199935913086	120.0	255.1999969482422	120.48	116.64	253.3	128.08	124.72	258.40000000000003	173413
11183	128.95999145507812	120.0	254.40000915527344	124.24	116.56	252.5	132.32	125.84	257.7	151672
11210	129.44000244140622	125.75999450683594	255.6000061035156	126.96	122.88	253.5	134.0	129.6	259.0	166824
11308	131.19999694824222	120.95999908447266	260.39999389648443	127.12	117.68	258.1	134.16	123.92	262.90000000000003	97579
