label_id	max_midgut_endo	best_midgut_type	colour_midgut
1	1.4584354339590993e-14	clade1sub11	232-213-56-255
2	2.3134383004278946e-13	clade1sub11	232-213-56-255
3	1.6369759329641372e-14	clade1sub7	24-215-202-255
4	2.877646590978873e-06	clade1sub3	70-122-242-255
5	3.0546221517684055e-29	clade1sub14	247-113-27-255
6	3.0110558843161856e-18	clade1sub3	70-122-242-255
7	1.9374208197336057e-07	clade1sub3	70-122-242-255
8	8.588417934550232e-19	clade1sub7	24-215-202-255
9	3.9170380137395846e-28	clade1sub7	24-215-202-255
10	6.263123708852905e-25	clade1sub7	24-215-202-255
11	2.6264636955121577e-25	clade1sub7	24-215-202-255
12	1.5005481496383018e-23	clade1sub7	24-215-202-255
13	5.84050609556535e-24	clade1sub7	24-215-202-255
14	1.6871571923976094e-17	clade1sub7	24-215-202-255
15	9.93248655141106e-25	clade1sub7	24-215-202-255
16	1.2873843139634845e-19	clade1sub3	70-122-242-255
17	6.110181208324257e-20	clade1sub7	24-215-202-255
18	1.5022965354994974e-29	clade1sub3	70-122-242-255
19	6.095529678711838e-16	clade1sub7	24-215-202-255
20	1.0494581672263664e-24	clade1sub3	70-122-242-255
21	2.4979195211118194e-25	clade1sub3	70-122-242-255
22	4.587408546614093e-28	clade1sub7	24-215-202-255
23	2.139531819580394e-25	clade1sub7	24-215-202-255
24	1.0213623911142085e-15	clade1sub7	24-215-202-255
25	1.7584825877005263e-10	clade1sub3	70-122-242-255
26	6.395695982385796e-08	clade1sub11	232-213-56-255
27	1.8609694017388737e-21	clade1sub14	247-113-27-255
28	2.5060212928347692e-09	clade1sub11	232-213-56-255
29	1.8582935531697238e-11	clade1sub7	24-215-202-255
30	3.5061677839453463e-17	clade1sub3	70-122-242-255
31	3.4438709335907136e-14	clade1sub3	70-122-242-255
32	9.869708221870056e-05	clade1sub12	128-254-83-255
33	1.040637751574468e-31	clade1sub3	70-122-242-255
34	4.130037909469415e-08	clade1sub7	24-215-202-255
35	4.80728404619835e-07	clade1sub18	122-4-2-255
36	8.07088784120854e-08	clade1sub17	222-62-8-255
37	5.16287851514376e-13	clade1sub3	70-122-242-255
38	2.831900924542586e-23	clade1sub7	24-215-202-255
39	2.787588448244014e-19	clade1sub3	70-122-242-255
41	1.833938374109178e-07	clade1sub12	128-254-83-255
42	1.147087653006054e-29	clade1sub7	24-215-202-255
43	2.5113802955958185e-16	clade1sub3	70-122-242-255
44	2.587833141307808e-13	clade1sub7	24-215-202-255
45	1.3558422073047587e-20	clade1sub7	24-215-202-255
46	0.0003201675261582	clade1sub11	232-213-56-255
47	1.051680958530528e-19	clade1sub3	70-122-242-255
48	1.7317589115041252e-05	clade1sub13	180-27-1-255
49	1.1238212427814694e-10	clade1sub3	70-122-242-255
50	1.2598622431082044e-32	clade1sub3	70-122-242-255
51	3.2206364648790664e-23	clade1sub7	24-215-202-255
52	2.535597776981091e-19	clade1sub7	24-215-202-255
53	3.455691672073635e-17	clade1sub7	24-215-202-255
54	3.21435315053399e-28	clade1sub7	24-215-202-255
55	5.172733690735743e-21	clade1sub7	24-215-202-255
56	1.8840517619939984e-06	clade1sub3	70-122-242-255
57	1.0414484035633226e-11	clade1sub11	232-213-56-255
58	4.3737119529076726e-20	clade1sub3	70-122-242-255
59	1.1391441431536562e-14	clade1sub3	70-122-242-255
60	1.1530718267765942e-13	clade1sub3	70-122-242-255
61	8.315332210558183e-24	clade1sub7	24-215-202-255
62	0.0030901400033663	clade1sub18	122-4-2-255
68	3.638996269470356e-05	clade1sub12	128-254-83-255
69	4.563747601363883e-19	clade1sub3	70-122-242-255
70	4.481390545972701e-18	clade1sub7	24-215-202-255
71	5.116086668326451e-05	clade1sub11	232-213-56-255
72	8.470104247376483e-08	clade1sub3	70-122-242-255
73	1.925413033838717e-21	clade1sub7	24-215-202-255
74	0.2075723070294009	clade1sub12	128-254-83-255
75	7.738102771048107e-05	clade1sub18	122-4-2-255
77	5.714573754506598e-29	clade1sub7	24-215-202-255
78	0.2203051976778453	clade1sub18	122-4-2-255
79	2.446041507738039e-30	clade1sub3	70-122-242-255
80	3.994073597932021e-20	clade1sub7	24-215-202-255
81	0.0120677201662544	clade1sub19	187-244-52-255
82	2.767615240993663e-17	clade1sub7	24-215-202-255
83	0.027961052056047	clade1sub19	187-244-52-255
84	6.222026890275437e-25	clade1sub3	70-122-242-255
85	3.3883645796990107e-16	clade1sub3	70-122-242-255
86	0.3414750282506845	clade1sub12	128-254-83-255
87	1.2919436861968688e-11	clade1sub3	70-122-242-255
88	0.0007565772298337	clade1sub12	128-254-83-255
89	4.889364206709951e-13	clade1sub11	232-213-56-255
90	5.488618176379303e-23	clade1sub3	70-122-242-255
91	4.122341783311745e-12	clade1sub11	232-213-56-255
92	1.4293415441954036e-13	clade1sub11	232-213-56-255
93	0.0105688900019705	clade1sub19	187-244-52-255
94	3.7068291804133664e-11	clade1sub14	247-113-27-255
95	0.0001623515591371	clade1sub7	24-215-202-255
96	2.5817019324850578e-17	clade1sub3	70-122-242-255
97	1.9831652221612223e-18	clade1sub17	222-62-8-255
98	0.0067637300053064	clade1sub19	187-244-52-255
