label_id	anchor_x	anchor_y	anchor_z	n_points	cell_id	nucleus_id
143	131.6	125.12	141.5	202	5765	0
53	120.8	111.52	169.2	610	5765	0
48	120.08	113.12	169.7	275	5765	0
46	120.88	111.44	169.7	411	5765	0
1	135.44	126.72	133.3	422	5765	0
158	135.36	126.16	137.2	107	5765	0
156	135.52	126.72	136.4	172	5765	0
62	121.12	112.0	168.8	526	5765	0
77	123.6	116.56	154.4	537	5765	0
79	125.76	118.64	152.4	517	5765	0
167	120.8	111.76	169.8	216	5765	0
20	129.28	119.92	150.2	164	5765	0
130	131.52	125.12	142.3	255	5765	0
125	132.08	123.2	145.3	189	5765	0
35	122.4	115.76	157.8	280	5765	0
87	124.56	116.32	155.2	230	5765	0
11	129.12	122.4	148.2	526	5765	0
89	124.72	116.08	154.8	178	5765	0
101	132.56	123.68	144.0	265	5765	0
114	132.48	125.2	143.5	96	5765	0
92	125.44	114.8	156.7	185	5765	0
38	123.36	116.08	157.8	226	5765	0
36	122.88	115.12	157.4	492	5765	0
128	132.32	124.0	142.1	152	5765	0
126	133.2	124.72	142.4	17	5765	0
133	133.6	126.4	141.0	108	5765	0
23	128.16	121.52	147.8	310	5765	0
91	125.2	115.2	156.6	72	5765	0
117	132.08	124.16	143.6	137	5765	0
119	132.16	122.72	145.9	169	5765	0
102	132.24	123.6	143.9	371	5765	0
84	125.84	118.4	152.3	381	5765	0
12	129.04	121.6	148.3	1217	5765	0
2	129.92	122.48	147.4	359	5765	0
155	135.04	126.24	136.0	134	5765	0
45	124.16	117.6	154.1	528	5765	0
50	119.92	112.0	169.0	706	5765	0
140	132.4	127.52	140.6	77	5765	0
164	134.56	125.44	141.2	92	5765	0
74	124.08	117.6	155.7	259	5765	0
61	121.68	113.36	167.5	337	5765	0
104	133.12	124.88	142.4	318	5765	0
14	129.2	121.44	148.9	537	5765	0
82	125.36	117.44	152.8	589	5765	0
97	129.92	122.08	146.8	112	5765	0
99	130.32	122.4	147.0	109	5765	0
111	132.8	125.68	142.7	167	5765	0
