label_id	cell_id	nucleus_id	most_probable_subtype	most_probable_broad_type	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points
10	4237	2717	clade11sub8subsub0	Developing neurons	210.4	146.8	48.5	191.28	146.8	48.5	210.48	153.52	57.1	262
100	2197	1718	clade11sub7subsub6	Developing neurons	220.4	160.16	31.8	203.36	147.68	0.2	221.36	161.92	63.2	993
101	2299	1583	clade11sub8subsub0	Central nervous system	200.56	207.68	32.1	152.24	188.08	21.2	200.96	210.32	58.3	632
103	2788	1880	clade11sub9subsub4	Central nervous system	196.32	205.44	37.7	177.2	186.88	0.2	196.88	208.24	61.2	962
109	7299	4013	clade11sub15subsub4	Central nervous system	213.12	179.44	71.0	212.56	177.2	68.6	213.28	179.52	71.1	12
113	6079	3633	clade7sub10	Cardiovascular system	184.48	183.92	66.0	176.64	177.2	50.8	184.56	188.56	66.1	506
115	6340	3703	clade9sub11	Motile cilia	182.96	187.6	66.7	175.36	164.16	56.2	197.2	187.68	66.8	452
117	6339	3699	clade11sub17subsub6	Motile cilia	179.52	190.08	66.3	178.64	186.88	55.7	195.04	195.28	66.4	331
119	6603	3701	clade11sub4subsub6	Developing neurons	181.84	193.12	65.3	178.64	186.88	55.5	191.36	194.64	65.4	259
12	3899	2714	clade11sub8subsub0	Central nervous system	206.8	150.08	48.1	191.04	148.0	48.1	206.88	154.0	56.2	296
125	7955	4432	clade11sub22subsub4	Central nervous system	193.28	201.6	76.5	189.44	177.76	68.9	200.88	222.4	76.6	480
127	7746	4433	clade11sub7subsub7	Central nervous system	196.08	207.28	76.0	189.12	184.32	61.1	200.08	219.2	76.1	737
13	7077	4085	clade11sub22subsub7	Motile cilia	189.28	188.08	70.5	184.48	175.28	42.9	194.96	191.76	70.7	908
133	8280	4704	clade9sub17	Anterior nervous system	222.88	172.8	80.3	201.76	168.0	64.8	238.48	179.04	81.7	652
