cell_id,nucl_table_id
1.2,6912.0
2.2,7606.0
3.2,7657.0
4.2,8660.0
6.2,7437.0
9.2,7424.0
11.2,7427.0
12.2,7443.0
14.2,7380.0
16.2,7462.0
18.2,7426.0
19.2,8202.0
20.2,7381.0
21.2,7392.0
22.2,7430.0
23.2,8443.0
24.2,8295.0
25.2,7313.0
26.2,8187.0
27.2,8830.0
30.2,7910.0
33.2,7682.0
34.2,7439.0
35.2,7436.0
36.2,7912.0
37.2,269.0
38.2,8696.0
39.2,8661.0
40.2,8440.0
41.2,7914.0
43.2,7698.0
44.2,8639.0
45.2,7917.0
46.2,9264.0
47.2,8832.0
48.2,291.0
49.2,8649.0
51.2,8838.0
52.2,9000.0
53.2,8431.0
54.2,9035.0
55.2,8842.0
56.2,9006.0
57.2,8856.0
58.2,8719.0
61.2,8509.0
62.2,8839.0
63.2,8999.0
64.2,9010.0
65.2,8979.0
67.2,8137.0
68.2,7590.0
69.2,8663.0
70.2,7916.0
71.2,8486.0
72.2,8729.0
73.2,8423.0
74.2,8433.0
75.2,8141.0
76.2,7421.0
77.2,7898.0
78.2,8553.0
79.2,8160.0
80.2,7595.0
81.2,7652.0
83.2,7650.0
84.2,251.0
85.2,8435.0
88.2,7858.0
89.2,8725.0
90.2,8194.0
91.2,7915.0
93.2,7901.0
94.2,7957.0
96.2,7921.0
97.2,7922.0
99.2,7959.0
100.2,7142.0
101.2,8009.0
102.2,8559.0
103.2,7242.0
104.2,7431.0
105.2,7299.0
106.2,7111.0
107.2,7245.0
110.2,7068.0
112.2,7447.0
113.2,7306.0
114.2,7276.0
115.2,7464.0
117.2,6078.0
118.2,7703.0
120.2,7665.0
121.2,7701.0
123.2,7651.0
124.2,7278.0
128.2,8158.0
129.2,7860.0
130.2,7684.0
131.2,7041.0
132.2,6821.0
133.2,7741.0
134.2,7256.0
136.2,8202.0
140.2,7667.0
141.2,8434.0
144.2,7106.0
145.2,7110.0
146.2,7284.0
147.2,7448.0
148.2,7446.0
149.2,7261.0
150.2,7282.0
151.2,7408.0
152.2,7053.0
153.2,7502.0
154.2,7452.0
155.2,7295.0
156.2,7734.0
157.2,7696.0
158.2,7272.0
159.2,7700.0
161.2,7404.0
164.2,7420.0
165.2,7450.0
167.2,8841.0
